0000      //Pattern 3, data input stream 0: 000
0118      //Pattern 3, data input stream 1: 1.093750e+000
01D4      //Pattern 3, data input stream 2: 1.828125e+000
01F6      //Pattern 3, data input stream 3: 1.960938e+000
0173      //Pattern 3, data input stream 4: 1.449219e+000
0079      //Pattern 3, data input stream 5: 4.726563e-001
FF5B      //Pattern 3, data input stream 6: -6.445313e-001
FE75      //Pattern 3, data input stream 7: -1.542969e+000
FE15      //Pattern 3, data input stream 8: -1.917969e+000
FE55      //Pattern 3, data input stream 9: -1.667969e+000
FF20      //Pattern 3, data input stream 10: -8.750000e-001
002D      //Pattern 3, data input stream 11: 1.757813e-001
0126      //Pattern 3, data input stream 12: 1.148438e+000
01B8      //Pattern 3, data input stream 13: 1.718750e+000
01B8      //Pattern 3, data input stream 14: 1.718750e+000
0129      //Pattern 3, data input stream 15: 1.160156e+000
0040      //Pattern 3, data input stream 16: 2.500000e-001
FF4C      //Pattern 3, data input stream 17: -7.031250e-001
FE9C      //Pattern 3, data input stream 18: -1.390625e+000
FE67      //Pattern 3, data input stream 19: -1.597656e+000
FEB7      //Pattern 3, data input stream 20: -1.285156e+000
FF6D      //Pattern 3, data input stream 21: -5.742188e-001
0047      //Pattern 3, data input stream 22: 2.773438e-001
00FE      //Pattern 3, data input stream 23: 9.921875e-001
0158      //Pattern 3, data input stream 24: 1.343750e+000
013F      //Pattern 3, data input stream 25: 1.246094e+000
00C1      //Pattern 3, data input stream 26: 7.539063e-001
0010      //Pattern 3, data input stream 27: 6.250000e-002
FF6A      //Pattern 3, data input stream 28: -5.859375e-001
FF01      //Pattern 3, data input stream 29: -9.960938e-001
FEF4      //Pattern 3, data input stream 30: -1.046875e+000
FF3C      //Pattern 3, data input stream 31: -7.656250e-001
FFBB      //Pattern 3, data input stream 32: -2.695313e-001
0040      //Pattern 3, data input stream 33: 2.500000e-001
00A0      //Pattern 3, data input stream 34: 6.250000e-001
00C1      //Pattern 3, data input stream 35: 7.539063e-001
00A0      //Pattern 3, data input stream 36: 6.250000e-001
0053      //Pattern 3, data input stream 37: 3.242188e-001
FFFB      //Pattern 3, data input stream 38: -1.953125e-002
FFB6      //Pattern 3, data input stream 39: -2.890625e-001
FF98      //Pattern 3, data input stream 40: -4.062500e-001
FFA4      //Pattern 3, data input stream 41: -3.593750e-001
FFCA      //Pattern 3, data input stream 42: -2.109375e-001
FFF5      //Pattern 3, data input stream 43: -4.296875e-002
0010      //Pattern 3, data input stream 44: 6.250000e-002
0016      //Pattern 3, data input stream 45: 8.593750e-002
000A      //Pattern 3, data input stream 46: 3.906250e-002
FFFB      //Pattern 3, data input stream 47: -1.953125e-002
FFF7      //Pattern 3, data input stream 48: -3.515625e-002
0006      //Pattern 3, data input stream 49: 2.343750e-002
0027      //Pattern 3, data input stream 50: 1.523438e-001
004A      //Pattern 3, data input stream 51: 2.890625e-001
005A      //Pattern 3, data input stream 52: 3.515625e-001
0046      //Pattern 3, data input stream 53: 2.734375e-001
000E      //Pattern 3, data input stream 54: 5.468750e-002
FFBF      //Pattern 3, data input stream 55: -2.539063e-001
FF76      //Pattern 3, data input stream 56: -5.390625e-001
FF51      //Pattern 3, data input stream 57: -6.835938e-001
FF67      //Pattern 3, data input stream 58: -5.976563e-001
FFBA      //Pattern 3, data input stream 59: -2.734375e-001
