40      // the odd pixel 0 
74      // the odd pixel 1 
00      // the odd pixel 2 
08      // the odd pixel 3 
EC      // the odd pixel 4 
00      // the odd pixel 5 
00      // the odd pixel 6 
8F      // the odd pixel 7 
3C      // the odd pixel 8 
60      // the odd pixel 9 
00      // the odd pixel 10 
AD      // the odd pixel 11 
DC      // the odd pixel 12 
00      // the odd pixel 13 
00      // the odd pixel 14 
00      // the odd pixel 15 
4A      // the odd pixel 16 
9E      // the odd pixel 17 
46      // the odd pixel 18 
72      // the odd pixel 19 
00      // the odd pixel 20 
73      // the odd pixel 21 
00      // the odd pixel 22 
4E      // the odd pixel 23 
86      // the odd pixel 24 
00      // the odd pixel 25 
20      // the odd pixel 26 
F6      // the odd pixel 27 
26      // the odd pixel 28 
6E      // the odd pixel 29 
96      // the odd pixel 30 
74      // the odd pixel 31 
34      // the odd pixel 32 
00      // the odd pixel 33 
AE      // the odd pixel 34 
67      // the odd pixel 35 
20      // the odd pixel 36 
45      // the odd pixel 37 
79      // the odd pixel 38 
00      // the odd pixel 39 
00      // the odd pixel 40 
69      // the odd pixel 41 
AE      // the odd pixel 42 
00      // the odd pixel 43 
72      // the odd pixel 44 
00      // the odd pixel 45 
B4      // the odd pixel 46 
76      // the odd pixel 47 
4E      // the odd pixel 48 
65      // the odd pixel 49 
20      // the odd pixel 50 
00      // the odd pixel 51 
A6      // the odd pixel 52 
72      // the odd pixel 53 
65      // the odd pixel 54 
B7      // the odd pixel 55 
04      // the odd pixel 56 
00      // the odd pixel 57 
4E      // the odd pixel 58 
65      // the odd pixel 59 
00      // the odd pixel 60 
99      // the odd pixel 61 
69      // the odd pixel 62 
73      // the odd pixel 63 
96      // the odd pixel 64 
00      // the odd pixel 65 
64      // the odd pixel 66 
77      // the odd pixel 67 
00      // the odd pixel 68 
B6      // the odd pixel 69 
2C      // the odd pixel 70 
62      // the odd pixel 71 
00      // the odd pixel 72 
65      // the odd pixel 73 
2E      // the odd pixel 74 
4E      // the odd pixel 75 
F6      // the odd pixel 76 
00      // the odd pixel 77 
04      // the odd pixel 78 
9E      // the odd pixel 79 
36      // the odd pixel 80 
00      // the odd pixel 81 
79      // the odd pixel 82 
0A      // the odd pixel 83 
75      // the odd pixel 84 
00      // the odd pixel 85 
E6      // the odd pixel 86 
00      // the odd pixel 87 
6B      // the odd pixel 88 
66      // the odd pixel 89 
20      // the odd pixel 90 
96      // the odd pixel 91 
76      // the odd pixel 92 
00      // the odd pixel 93 
16      // the odd pixel 94 
00      // the odd pixel 95 
00      // the odd pixel 96 
70      // the odd pixel 97 
F5      // the odd pixel 98 
00      // the odd pixel 99 
00      // the odd pixel 100 
79      // the odd pixel 101 
00      // the odd pixel 102 
62      // the odd pixel 103 
00      // the odd pixel 104 
00      // the odd pixel 105 
01      // the odd pixel 106 
3C      // the odd pixel 107 
60      // the odd pixel 108 
AD      // the odd pixel 109 
00      // the odd pixel 110 
20      // the odd pixel 111 
00      // the odd pixel 112 
00      // the odd pixel 113 
00      // the odd pixel 114 
08      // the odd pixel 115 
FF      // the odd pixel 116 
00      // the odd pixel 117 
00      // the odd pixel 118 
00      // the odd pixel 119 
00      // the odd pixel 120 
00      // the odd pixel 121 
00      // the odd pixel 122 
00      // the odd pixel 123 
00      // the odd pixel 124 
00      // the odd pixel 125 
00      // the odd pixel 126 
00      // the odd pixel 127 
