40      // pixel 0 
20      // pixel 1 
74      // pixel 2 
06      // pixel 3 
00      // pixel 4 
00      // pixel 5 
08      // pixel 6 
CD      // pixel 7 
65      // pixel 8 
EC      // pixel 9 
00      // pixel 10 
00      // pixel 11 
04      // pixel 12 
00      // pixel 13 
01      // pixel 14 
8F      // pixel 15 
3C      // pixel 16 
00      // pixel 17 
60      // pixel 18 
00      // pixel 19 
00      // pixel 20 
08      // pixel 21 
AD      // pixel 22 
00      // pixel 23 
F5      // pixel 24 
DC      // pixel 25 
00      // pixel 26 
00      // pixel 27 
00      // pixel 28 
00      // pixel 29 
00      // pixel 30 
00      // pixel 31 
4A      // pixel 32 
34      // pixel 33 
9E      // pixel 34 
00      // pixel 35 
46      // pixel 36 
04      // pixel 37 
72      // pixel 38 
16      // pixel 39 
E6      // pixel 40 
00      // pixel 41 
2E      // pixel 42 
73      // pixel 43 
70      // pixel 44 
00      // pixel 45 
00      // pixel 46 
4E      // pixel 47 
86      // pixel 48 
00      // pixel 49 
00      // pixel 50 
6B      // pixel 51 
20      // pixel 52 
66      // pixel 53 
F6      // pixel 54 
00      // pixel 55 
00      // pixel 56 
26      // pixel 57 
04      // pixel 58 
6E      // pixel 59 
76      // pixel 60 
96      // pixel 61 
69      // pixel 62 
74      // pixel 63 
34      // pixel 64 
9E      // pixel 65 
00      // pixel 66 
0A      // pixel 67 
AE      // pixel 68 
00      // pixel 69 
67      // pixel 70 
68      // pixel 71 
2E      // pixel 72 
20      // pixel 73 
F6      // pixel 74 
45      // pixel 75 
6C      // pixel 76 
79      // pixel 77 
00      // pixel 78 
00      // pixel 79 
00      // pixel 80 
73      // pixel 81 
69      // pixel 82 
B6      // pixel 83 
AE      // pixel 84 
00      // pixel 85 
00      // pixel 86 
34      // pixel 87 
46      // pixel 88 
72      // pixel 89 
65      // pixel 90 
00      // pixel 91 
96      // pixel 92 
B4      // pixel 93 
CE      // pixel 94 
76      // pixel 95 
4E      // pixel 96 
96      // pixel 97 
65      // pixel 98 
64      // pixel 99 
20      // pixel 100 
77      // pixel 101 
00      // pixel 102 
00      // pixel 103 
04      // pixel 104 
A6      // pixel 105 
74      // pixel 106 
72      // pixel 107 
00      // pixel 108 
65      // pixel 109 
EA      // pixel 110 
B7      // pixel 111 
04      // pixel 112 
A6      // pixel 113 
00      // pixel 114 
00      // pixel 115 
4E      // pixel 116 
2E      // pixel 117 
65      // pixel 118 
61      // pixel 119 
00      // pixel 120 
00      // pixel 121 
5B      // pixel 122 
99      // pixel 123 
2D      // pixel 124 
69      // pixel 125 
6E      // pixel 126 
73      // pixel 127 
96      // pixel 128 
00      // pixel 129 
00      // pixel 130 
65      // pixel 131 
64      // pixel 132 
20      // pixel 133 
77      // pixel 134 
73      // pixel 135 
69      // pixel 136 
00      // pixel 137 
00      // pixel 138 
B6      // pixel 139 
AE      // pixel 140 
2C      // pixel 141 
96      // pixel 142 
62      // pixel 143 
00      // pixel 144 
72      // pixel 145 
65      // pixel 146 
A6      // pixel 147 
2E      // pixel 148 
04      // pixel 149 
4E      // pixel 150 
00      // pixel 151 
66      // pixel 152 
F6      // pixel 153 
00      // pixel 154 
00      // pixel 155 
A2      // pixel 156 
04      // pixel 157 
00      // pixel 158 
9E      // pixel 159 
36      // pixel 160 
2E      // pixel 161 
00      // pixel 162 
00      // pixel 163 
79      // pixel 164 
2C      // pixel 165 
0A      // pixel 166 
44      // pixel 167 
61      // pixel 168 
75      // pixel 169 
00      // pixel 170 
00      // pixel 171 
16      // pixel 172 
E6      // pixel 173 
00      // pixel 174 
00      // pixel 175 
6B      // pixel 176 
20      // pixel 177 
66      // pixel 178 
F6      // pixel 179 
20      // pixel 180 
6E      // pixel 181 
96      // pixel 182 
00      // pixel 183 
00      // pixel 184 
76      // pixel 185 
96      // pixel 186 
00      // pixel 187 
72      // pixel 188 
16      // pixel 189 
74      // pixel 190 
00      // pixel 191 
00      // pixel 192 
73      // pixel 193 
70      // pixel 194 
72      // pixel 195 
F5      // pixel 196 
DC      // pixel 197 
00      // pixel 198 
00      // pixel 199 
00      // pixel 200 
00      // pixel 201 
52      // pixel 202 
79      // pixel 203 
2C      // pixel 204 
00      // pixel 205 
20      // pixel 206 
62      // pixel 207 
00      // pixel 208 
20      // pixel 209 
00      // pixel 210 
D6      // pixel 211 
01      // pixel 212 
00      // pixel 213 
3C      // pixel 214 
F1      // pixel 215 
00      // pixel 216 
60      // pixel 217 
08      // pixel 218 
AD      // pixel 219 
00      // pixel 220 
00      // pixel 221 
40      // pixel 222 
20      // pixel 223 
00      // pixel 224 
00      // pixel 225 
00      // pixel 226 
2E      // pixel 227 
00      // pixel 228 
60      // pixel 229 
08      // pixel 230 
CD      // pixel 231 
00      // pixel 232 
FF      // pixel 233 
