1001      // stimulus signal 0 : length is 1, fill_mode is 0, msb_first is 0, low_en is 1 
0000      // stimulus signal 1 : length is 0, fill_mode is 0, msb_first is 0, low_en is 0 
1000      // stimulus signal 2 : length is 1, fill_mode is 0, msb_first is 0, low_en is 0 
2010      // stimulus signal 3 : length is 2, fill_mode is 0, msb_first is 1, low_en is 0 
1000      // stimulus signal 4 : length is 1, fill_mode is 0, msb_first is 0, low_en is 0 
3100      // stimulus signal 5 : length is 3, fill_mode is 1, msb_first is 0, low_en is 0 
0010      // stimulus signal 6 : length is 0, fill_mode is 0, msb_first is 1, low_en is 0 
1001      // stimulus signal 7 : length is 1, fill_mode is 0, msb_first is 0, low_en is 1 
3110      // stimulus signal 8 : length is 3, fill_mode is 1, msb_first is 1, low_en is 0 
2111      // stimulus signal 9 : length is 2, fill_mode is 1, msb_first is 1, low_en is 1 
3001      // stimulus signal 10 : length is 3, fill_mode is 0, msb_first is 0, low_en is 1 
3010      // stimulus signal 11 : length is 3, fill_mode is 0, msb_first is 1, low_en is 0 
0011      // stimulus signal 12 : length is 0, fill_mode is 0, msb_first is 1, low_en is 1 
1000      // stimulus signal 13 : length is 1, fill_mode is 0, msb_first is 0, low_en is 0 
2101      // stimulus signal 14 : length is 2, fill_mode is 1, msb_first is 0, low_en is 1 
0011      // stimulus signal 15 : length is 0, fill_mode is 0, msb_first is 1, low_en is 1 
2000      // stimulus signal 16 : length is 2, fill_mode is 0, msb_first is 0, low_en is 0 
0101      // stimulus signal 17 : length is 0, fill_mode is 1, msb_first is 0, low_en is 1 
3111      // stimulus signal 18 : length is 3, fill_mode is 1, msb_first is 1, low_en is 1 
3000      // stimulus signal 19 : length is 3, fill_mode is 0, msb_first is 0, low_en is 0 
1111      // stimulus signal 20 : length is 1, fill_mode is 1, msb_first is 1, low_en is 1 
1100      // stimulus signal 21 : length is 1, fill_mode is 1, msb_first is 0, low_en is 0 
3101      // stimulus signal 22 : length is 3, fill_mode is 1, msb_first is 0, low_en is 1 
