553362      // Pattern 0, Central1 = 5 + 5 i,  Central2 = 3 + 3 i, Central2 = 6 + 2 i 
462453      // Pattern 1, Central1 = 4 + 6 i,  Central2 = 2 + 4 i, Central2 = 5 + 3 i 
761642      // Pattern 2, Central1 = 7 + 6 i,  Central2 = 1 + 6 i, Central2 = 4 + 2 i 
639266      // Pattern 3, Central1 = 6 + 3 i,  Central2 = 9 + 2 i, Central2 = 6 + 6 i 
905089      // Pattern 4, Central1 = 9 + 0 i,  Central2 = 5 + 0 i, Central2 = 8 + 9 i 
675886      // Pattern 5, Central1 = 6 + 7 i,  Central2 = 5 + 8 i, Central2 = 8 + 6 i 
016934      // Pattern 6, Central1 = 0 + 1 i,  Central2 = 6 + 9 i, Central2 = 3 + 4 i 
973622      // Pattern 7, Central1 = 9 + 7 i,  Central2 = 3 + 6 i, Central2 = 2 + 2 i 
733456      // Pattern 8, Central1 = 7 + 3 i,  Central2 = 3 + 4 i, Central2 = 5 + 6 i 
858441      // Pattern 9, Central1 = 8 + 5 i,  Central2 = 8 + 4 i, Central2 = 4 + 1 i 
374445      // Pattern 10, Central1 = 3 + 7 i,  Central2 = 4 + 4 i, Central2 = 4 + 5 i 
905171      // Pattern 11, Central1 = 9 + 0 i,  Central2 = 5 + 1 i, Central2 = 7 + 1 i 
976469      // Pattern 12, Central1 = 9 + 7 i,  Central2 = 6 + 4 i, Central2 = 6 + 9 i 
279660      // Pattern 13, Central1 = 2 + 7 i,  Central2 = 9 + 6 i, Central2 = 6 + 0 i 
745913      // Pattern 14, Central1 = 7 + 4 i,  Central2 = 5 + 9 i, Central2 = 1 + 3 i 
656245      // Pattern 15, Central1 = 6 + 5 i,  Central2 = 6 + 2 i, Central2 = 4 + 5 i 
935354      // Pattern 16, Central1 = 9 + 3 i,  Central2 = 5 + 3 i, Central2 = 5 + 4 i 
619238      // Pattern 17, Central1 = 6 + 1 i,  Central2 = 9 + 2 i, Central2 = 3 + 8 i 
738245      // Pattern 18, Central1 = 7 + 3 i,  Central2 = 8 + 2 i, Central2 = 4 + 5 i 
791132      // Pattern 19, Central1 = 7 + 9 i,  Central2 = 1 + 1 i, Central2 = 3 + 2 i 
321077      // Pattern 20, Central1 = 3 + 2 i,  Central2 = 1 + 0 i, Central2 = 7 + 7 i 
232431      // Pattern 21, Central1 = 2 + 3 i,  Central2 = 2 + 4 i, Central2 = 3 + 1 i 
037276      // Pattern 22, Central1 = 0 + 3 i,  Central2 = 7 + 2 i, Central2 = 7 + 6 i 
401846      // Pattern 23, Central1 = 4 + 0 i,  Central2 = 1 + 8 i, Central2 = 4 + 6 i 
659572      // Pattern 24, Central1 = 6 + 5 i,  Central2 = 9 + 5 i, Central2 = 7 + 2 i 
287991      // Pattern 25, Central1 = 2 + 8 i,  Central2 = 7 + 9 i, Central2 = 9 + 1 i 
591951      // Pattern 26, Central1 = 5 + 9 i,  Central2 = 1 + 9 i, Central2 = 5 + 1 i 
278591      // Pattern 27, Central1 = 2 + 7 i,  Central2 = 8 + 5 i, Central2 = 9 + 1 i 
239122      // Pattern 28, Central1 = 2 + 3 i,  Central2 = 9 + 1 i, Central2 = 2 + 2 i 
629989      // Pattern 29, Central1 = 6 + 2 i,  Central2 = 9 + 9 i, Central2 = 8 + 9 i 
865500      // Pattern 30, Central1 = 8 + 6 i,  Central2 = 5 + 5 i, Central2 = 0 + 0 i 
885849      // Pattern 31, Central1 = 8 + 8 i,  Central2 = 5 + 8 i, Central2 = 4 + 9 i 
291400      // Pattern 32, Central1 = 2 + 9 i,  Central2 = 1 + 4 i, Central2 = 0 + 0 i 
305689      // Pattern 33, Central1 = 3 + 0 i,  Central2 = 5 + 6 i, Central2 = 8 + 9 i 
845012      // Pattern 34, Central1 = 8 + 4 i,  Central2 = 5 + 0 i, Central2 = 1 + 2 i 
211915      // Pattern 35, Central1 = 2 + 1 i,  Central2 = 1 + 9 i, Central2 = 1 + 5 i 
924618      // Pattern 36, Central1 = 9 + 2 i,  Central2 = 4 + 6 i, Central2 = 1 + 8 i 
685168      // Pattern 37, Central1 = 6 + 8 i,  Central2 = 5 + 1 i, Central2 = 6 + 8 i 
111721      // Pattern 38, Central1 = 1 + 1 i,  Central2 = 1 + 7 i, Central2 = 2 + 1 i 
816326      // Pattern 39, Central1 = 8 + 1 i,  Central2 = 6 + 3 i, Central2 = 2 + 6 i 
650079      // Pattern 40, Central1 = 6 + 5 i,  Central2 = 0 + 0 i, Central2 = 7 + 9 i 
533259      // Pattern 41, Central1 = 5 + 3 i,  Central2 = 3 + 2 i, Central2 = 5 + 9 i 
235291      // Pattern 42, Central1 = 2 + 3 i,  Central2 = 5 + 2 i, Central2 = 9 + 1 i 
073201      // Pattern 43, Central1 = 0 + 7 i,  Central2 = 3 + 2 i, Central2 = 0 + 1 i 
286747      // Pattern 44, Central1 = 2 + 8 i,  Central2 = 6 + 7 i, Central2 = 4 + 7 i 
363750      // Pattern 45, Central1 = 3 + 6 i,  Central2 = 3 + 7 i, Central2 = 5 + 0 i 
641550      // Pattern 46, Central1 = 6 + 4 i,  Central2 = 1 + 5 i, Central2 = 5 + 0 i 
969584      // Pattern 47, Central1 = 9 + 6 i,  Central2 = 9 + 5 i, Central2 = 8 + 4 i 
226618      // Pattern 48, Central1 = 2 + 2 i,  Central2 = 6 + 6 i, Central2 = 1 + 8 i 
766939      // Pattern 49, Central1 = 7 + 6 i,  Central2 = 6 + 9 i, Central2 = 3 + 9 i 
866600      // Pattern 50, Central1 = 8 + 6 i,  Central2 = 6 + 6 i, Central2 = 0 + 0 i 
467695      // Pattern 51, Central1 = 4 + 6 i,  Central2 = 7 + 6 i, Central2 = 9 + 5 i 
138978      // Pattern 52, Central1 = 1 + 3 i,  Central2 = 8 + 9 i, Central2 = 7 + 8 i 
835579      // Pattern 53, Central1 = 8 + 3 i,  Central2 = 5 + 5 i, Central2 = 7 + 9 i 
411318      // Pattern 54, Central1 = 4 + 1 i,  Central2 = 1 + 3 i, Central2 = 1 + 8 i 
173938      // Pattern 55, Central1 = 1 + 7 i,  Central2 = 3 + 9 i, Central2 = 3 + 8 i 
848417      // Pattern 56, Central1 = 8 + 4 i,  Central2 = 8 + 4 i, Central2 = 1 + 7 i 
631641      // Pattern 57, Central1 = 6 + 3 i,  Central2 = 1 + 6 i, Central2 = 4 + 1 i 
073785      // Pattern 58, Central1 = 0 + 7 i,  Central2 = 3 + 7 i, Central2 = 8 + 5 i 
929661      // Pattern 59, Central1 = 9 + 2 i,  Central2 = 9 + 6 i, Central2 = 6 + 1 i 
088268      // Pattern 60, Central1 = 0 + 8 i,  Central2 = 8 + 2 i, Central2 = 6 + 8 i 
082069      // Pattern 61, Central1 = 0 + 8 i,  Central2 = 2 + 0 i, Central2 = 6 + 9 i 
