332      // Pattern 0, Radius1 = 3,  Radius2 = 3, Radius3 = 2  
223      // Pattern 1, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
223      // Pattern 2, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
322      // Pattern 3, Radius1 = 3,  Radius2 = 2, Radius3 = 2  
262      // Pattern 4, Radius1 = 2,  Radius2 = 6, Radius3 = 2  
222      // Pattern 5, Radius1 = 2,  Radius2 = 2, Radius3 = 2  
554      // Pattern 6, Radius1 = 5,  Radius2 = 5, Radius3 = 4  
443      // Pattern 7, Radius1 = 4,  Radius2 = 4, Radius3 = 3  
223      // Pattern 8, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
224      // Pattern 9, Radius1 = 2,  Radius2 = 2, Radius3 = 4  
222      // Pattern 10, Radius1 = 2,  Radius2 = 2, Radius3 = 2  
234      // Pattern 11, Radius1 = 2,  Radius2 = 3, Radius3 = 4  
224      // Pattern 12, Radius1 = 2,  Radius2 = 2, Radius3 = 4  
222      // Pattern 13, Radius1 = 2,  Radius2 = 2, Radius3 = 2  
233      // Pattern 14, Radius1 = 2,  Radius2 = 3, Radius3 = 3  
234      // Pattern 15, Radius1 = 2,  Radius2 = 3, Radius3 = 4  
222      // Pattern 16, Radius1 = 2,  Radius2 = 2, Radius3 = 2  
234      // Pattern 17, Radius1 = 2,  Radius2 = 3, Radius3 = 4  
223      // Pattern 18, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
223      // Pattern 19, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
223      // Pattern 20, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
223      // Pattern 21, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
223      // Pattern 22, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
232      // Pattern 23, Radius1 = 2,  Radius2 = 3, Radius3 = 2  
222      // Pattern 24, Radius1 = 2,  Radius2 = 2, Radius3 = 2  
233      // Pattern 25, Radius1 = 2,  Radius2 = 3, Radius3 = 3  
233      // Pattern 26, Radius1 = 2,  Radius2 = 3, Radius3 = 3  
234      // Pattern 27, Radius1 = 2,  Radius2 = 3, Radius3 = 4  
234      // Pattern 28, Radius1 = 2,  Radius2 = 3, Radius3 = 4  
232      // Pattern 29, Radius1 = 2,  Radius2 = 3, Radius3 = 2  
223      // Pattern 30, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
233      // Pattern 31, Radius1 = 2,  Radius2 = 3, Radius3 = 3  
233      // Pattern 32, Radius1 = 2,  Radius2 = 3, Radius3 = 3  
223      // Pattern 33, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
233      // Pattern 34, Radius1 = 2,  Radius2 = 3, Radius3 = 3  
234      // Pattern 35, Radius1 = 2,  Radius2 = 3, Radius3 = 4  
234      // Pattern 36, Radius1 = 2,  Radius2 = 3, Radius3 = 4  
222      // Pattern 37, Radius1 = 2,  Radius2 = 2, Radius3 = 2  
234      // Pattern 38, Radius1 = 2,  Radius2 = 3, Radius3 = 4  
233      // Pattern 39, Radius1 = 2,  Radius2 = 3, Radius3 = 3  
224      // Pattern 40, Radius1 = 2,  Radius2 = 2, Radius3 = 4  
222      // Pattern 41, Radius1 = 2,  Radius2 = 2, Radius3 = 2  
232      // Pattern 42, Radius1 = 2,  Radius2 = 3, Radius3 = 2  
232      // Pattern 43, Radius1 = 2,  Radius2 = 3, Radius3 = 2  
223      // Pattern 44, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
224      // Pattern 45, Radius1 = 2,  Radius2 = 2, Radius3 = 4  
222      // Pattern 46, Radius1 = 2,  Radius2 = 2, Radius3 = 2  
232      // Pattern 47, Radius1 = 2,  Radius2 = 3, Radius3 = 2  
222      // Pattern 48, Radius1 = 2,  Radius2 = 2, Radius3 = 2  
233      // Pattern 49, Radius1 = 2,  Radius2 = 3, Radius3 = 3  
224      // Pattern 50, Radius1 = 2,  Radius2 = 2, Radius3 = 4  
233      // Pattern 51, Radius1 = 2,  Radius2 = 3, Radius3 = 3  
223      // Pattern 52, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
234      // Pattern 53, Radius1 = 2,  Radius2 = 3, Radius3 = 4  
224      // Pattern 54, Radius1 = 2,  Radius2 = 2, Radius3 = 4  
233      // Pattern 55, Radius1 = 2,  Radius2 = 3, Radius3 = 3  
232      // Pattern 56, Radius1 = 2,  Radius2 = 3, Radius3 = 2  
223      // Pattern 57, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
223      // Pattern 58, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
234      // Pattern 59, Radius1 = 2,  Radius2 = 3, Radius3 = 4  
222      // Pattern 60, Radius1 = 2,  Radius2 = 2, Radius3 = 2  
224      // Pattern 61, Radius1 = 2,  Radius2 = 2, Radius3 = 4  
223      // Pattern 62, Radius1 = 2,  Radius2 = 2, Radius3 = 3  
222      // Pattern 63, Radius1 = 2,  Radius2 = 2, Radius3 = 2  
