37      // Result 0, real part of candidate_diff = 3, imag part of candidate_diff = 7    
46      // Result 1, real part of candidate_diff = 4, imag part of candidate_diff = 6    
47      // Result 2, real part of candidate_diff = 4, imag part of candidate_diff = 7    
56      // Result 3, real part of candidate_diff = 5, imag part of candidate_diff = 6    
57      // Result 4, real part of candidate_diff = 5, imag part of candidate_diff = 7    
58      // Result 5, real part of candidate_diff = 5, imag part of candidate_diff = 8    
64      // Result 6, real part of candidate_diff = 6, imag part of candidate_diff = 4    
65      // Result 7, real part of candidate_diff = 6, imag part of candidate_diff = 5    
66      // Result 8, real part of candidate_diff = 6, imag part of candidate_diff = 6    
67      // Result 9, real part of candidate_diff = 6, imag part of candidate_diff = 7    
73      // Result 10, real part of candidate_diff = 7, imag part of candidate_diff = 3    
74      // Result 11, real part of candidate_diff = 7, imag part of candidate_diff = 4    
75      // Result 12, real part of candidate_diff = 7, imag part of candidate_diff = 5    
76      // Result 13, real part of candidate_diff = 7, imag part of candidate_diff = 6    
77      // Result 14, real part of candidate_diff = 7, imag part of candidate_diff = 7    
85      // Result 15, real part of candidate_diff = 8, imag part of candidate_diff = 5    
11      // Result 16, real part of candidate_diff = 1, imag part of candidate_diff = 1    
12      // Result 17, real part of candidate_diff = 1, imag part of candidate_diff = 2    
13      // Result 18, real part of candidate_diff = 1, imag part of candidate_diff = 3    
14      // Result 19, real part of candidate_diff = 1, imag part of candidate_diff = 4    
15      // Result 20, real part of candidate_diff = 1, imag part of candidate_diff = 5    
21      // Result 21, real part of candidate_diff = 2, imag part of candidate_diff = 1    
22      // Result 22, real part of candidate_diff = 2, imag part of candidate_diff = 2    
23      // Result 23, real part of candidate_diff = 2, imag part of candidate_diff = 3    
24      // Result 24, real part of candidate_diff = 2, imag part of candidate_diff = 4    
31      // Result 25, real part of candidate_diff = 3, imag part of candidate_diff = 1    
32      // Result 26, real part of candidate_diff = 3, imag part of candidate_diff = 2    
41      // Result 27, real part of candidate_diff = 4, imag part of candidate_diff = 1    
42      // Result 28, real part of candidate_diff = 4, imag part of candidate_diff = 2    
51      // Result 29, real part of candidate_diff = 5, imag part of candidate_diff = 1    
36      // Result 30, real part of candidate_diff = 3, imag part of candidate_diff = 6    
37      // Result 31, real part of candidate_diff = 3, imag part of candidate_diff = 7    
45      // Result 32, real part of candidate_diff = 4, imag part of candidate_diff = 5    
46      // Result 33, real part of candidate_diff = 4, imag part of candidate_diff = 6    
47      // Result 34, real part of candidate_diff = 4, imag part of candidate_diff = 7    
48      // Result 35, real part of candidate_diff = 4, imag part of candidate_diff = 8    
55      // Result 36, real part of candidate_diff = 5, imag part of candidate_diff = 5    
56      // Result 37, real part of candidate_diff = 5, imag part of candidate_diff = 6    
57      // Result 38, real part of candidate_diff = 5, imag part of candidate_diff = 7    
66      // Result 39, real part of candidate_diff = 6, imag part of candidate_diff = 6    
13      // Result 40, real part of candidate_diff = 1, imag part of candidate_diff = 3    
14      // Result 41, real part of candidate_diff = 1, imag part of candidate_diff = 4    
15      // Result 42, real part of candidate_diff = 1, imag part of candidate_diff = 5    
22      // Result 43, real part of candidate_diff = 2, imag part of candidate_diff = 2    
23      // Result 44, real part of candidate_diff = 2, imag part of candidate_diff = 3    
24      // Result 45, real part of candidate_diff = 2, imag part of candidate_diff = 4    
25      // Result 46, real part of candidate_diff = 2, imag part of candidate_diff = 5    
33      // Result 47, real part of candidate_diff = 3, imag part of candidate_diff = 3    
34      // Result 48, real part of candidate_diff = 3, imag part of candidate_diff = 4    
56      // Result 49, real part of candidate_diff = 5, imag part of candidate_diff = 6    
65      // Result 50, real part of candidate_diff = 6, imag part of candidate_diff = 5    
66      // Result 51, real part of candidate_diff = 6, imag part of candidate_diff = 6    
67      // Result 52, real part of candidate_diff = 6, imag part of candidate_diff = 7    
74      // Result 53, real part of candidate_diff = 7, imag part of candidate_diff = 4    
75      // Result 54, real part of candidate_diff = 7, imag part of candidate_diff = 5    
76      // Result 55, real part of candidate_diff = 7, imag part of candidate_diff = 6    
77      // Result 56, real part of candidate_diff = 7, imag part of candidate_diff = 7    
78      // Result 57, real part of candidate_diff = 7, imag part of candidate_diff = 8    
85      // Result 58, real part of candidate_diff = 8, imag part of candidate_diff = 5    
86      // Result 59, real part of candidate_diff = 8, imag part of candidate_diff = 6    
87      // Result 60, real part of candidate_diff = 8, imag part of candidate_diff = 7    
14      // Result 61, real part of candidate_diff = 1, imag part of candidate_diff = 4    
15      // Result 62, real part of candidate_diff = 1, imag part of candidate_diff = 5    
16      // Result 63, real part of candidate_diff = 1, imag part of candidate_diff = 6    
17      // Result 64, real part of candidate_diff = 1, imag part of candidate_diff = 7    
