1E      // Result 0, the length ofcandidate_diff = 30    
13      // Result 1, the length ofcandidate_diff = 19    
15      // Result 2, the length ofcandidate_diff = 21    
17      // Result 3, the length ofcandidate_diff = 23    
27      // Result 4, the length ofcandidate_diff = 39    
07      // Result 5, the length ofcandidate_diff = 7    
2E      // Result 6, the length ofcandidate_diff = 46    
28      // Result 7, the length ofcandidate_diff = 40    
19      // Result 8, the length ofcandidate_diff = 25    
06      // Result 9, the length ofcandidate_diff = 6    
15      // Result 10, the length ofcandidate_diff = 21    
11      // Result 11, the length ofcandidate_diff = 17    
11      // Result 12, the length ofcandidate_diff = 17    
0F      // Result 13, the length ofcandidate_diff = 15    
17      // Result 14, the length ofcandidate_diff = 23    
19      // Result 15, the length ofcandidate_diff = 25    
0F      // Result 16, the length ofcandidate_diff = 15    
0A      // Result 17, the length ofcandidate_diff = 10    
06      // Result 18, the length ofcandidate_diff = 6    
0A      // Result 19, the length ofcandidate_diff = 10    
0B      // Result 20, the length ofcandidate_diff = 11    
08      // Result 21, the length ofcandidate_diff = 8    
0F      // Result 22, the length ofcandidate_diff = 15    
0F      // Result 23, the length ofcandidate_diff = 15    
0D      // Result 24, the length ofcandidate_diff = 13    
11      // Result 25, the length ofcandidate_diff = 17    
0B      // Result 26, the length ofcandidate_diff = 11    
1D      // Result 27, the length ofcandidate_diff = 29    
13      // Result 28, the length ofcandidate_diff = 19    
10      // Result 29, the length ofcandidate_diff = 16    
12      // Result 30, the length ofcandidate_diff = 18    
10      // Result 31, the length ofcandidate_diff = 16    
16      // Result 32, the length ofcandidate_diff = 22    
11      // Result 33, the length ofcandidate_diff = 17    
14      // Result 34, the length ofcandidate_diff = 20    
0F      // Result 35, the length ofcandidate_diff = 15    
20      // Result 36, the length ofcandidate_diff = 32    
12      // Result 37, the length ofcandidate_diff = 18    
14      // Result 38, the length ofcandidate_diff = 20    
15      // Result 39, the length ofcandidate_diff = 21    
0E      // Result 40, the length ofcandidate_diff = 14    
11      // Result 41, the length ofcandidate_diff = 17    
19      // Result 42, the length ofcandidate_diff = 25    
1A      // Result 43, the length ofcandidate_diff = 26    
14      // Result 44, the length ofcandidate_diff = 20    
09      // Result 45, the length ofcandidate_diff = 9    
16      // Result 46, the length ofcandidate_diff = 22    
07      // Result 47, the length ofcandidate_diff = 7    
18      // Result 48, the length ofcandidate_diff = 24    
0D      // Result 49, the length ofcandidate_diff = 13    
0C      // Result 50, the length ofcandidate_diff = 12    
19      // Result 51, the length ofcandidate_diff = 25    
0C      // Result 52, the length ofcandidate_diff = 12    
1E      // Result 53, the length ofcandidate_diff = 30    
12      // Result 54, the length ofcandidate_diff = 18    
09      // Result 55, the length ofcandidate_diff = 9    
09      // Result 56, the length ofcandidate_diff = 9    
16      // Result 57, the length ofcandidate_diff = 22    
0C      // Result 58, the length ofcandidate_diff = 12    
0F      // Result 59, the length ofcandidate_diff = 15    
0B      // Result 60, the length ofcandidate_diff = 11    
07      // Result 61, the length ofcandidate_diff = 7    
07      // Result 62, the length ofcandidate_diff = 7    
10      // Result 63, the length ofcandidate_diff = 16    
