33      // Result 0, real part of candidate_intersect = 3, imag part of candidate_intersect = 3    
43      // Result 1, real part of candidate_intersect = 4, imag part of candidate_intersect = 3    
34      // Result 2, real part of candidate_intersect = 3, imag part of candidate_intersect = 4    
25      // Result 3, real part of candidate_intersect = 2, imag part of candidate_intersect = 5    
44      // Result 4, real part of candidate_intersect = 4, imag part of candidate_intersect = 4    
35      // Result 5, real part of candidate_intersect = 3, imag part of candidate_intersect = 5    
54      // Result 6, real part of candidate_intersect = 5, imag part of candidate_intersect = 4    
45      // Result 7, real part of candidate_intersect = 4, imag part of candidate_intersect = 5    
36      // Result 8, real part of candidate_intersect = 3, imag part of candidate_intersect = 6    
55      // Result 9, real part of candidate_intersect = 5, imag part of candidate_intersect = 5    
64      // Result 10, real part of candidate_intersect = 6, imag part of candidate_intersect = 4    
73      // Result 11, real part of candidate_intersect = 7, imag part of candidate_intersect = 3    
42      // Result 12, real part of candidate_intersect = 4, imag part of candidate_intersect = 2    
51      // Result 13, real part of candidate_intersect = 5, imag part of candidate_intersect = 1    
26      // Result 14, real part of candidate_intersect = 2, imag part of candidate_intersect = 6    
45      // Result 15, real part of candidate_intersect = 4, imag part of candidate_intersect = 5    
55      // Result 16, real part of candidate_intersect = 5, imag part of candidate_intersect = 5    
56      // Result 17, real part of candidate_intersect = 5, imag part of candidate_intersect = 6    
23      // Result 18, real part of candidate_intersect = 2, imag part of candidate_intersect = 3    
33      // Result 19, real part of candidate_intersect = 3, imag part of candidate_intersect = 3    
34      // Result 20, real part of candidate_intersect = 3, imag part of candidate_intersect = 4    
72      // Result 21, real part of candidate_intersect = 7, imag part of candidate_intersect = 2    
81      // Result 22, real part of candidate_intersect = 8, imag part of candidate_intersect = 1    
82      // Result 23, real part of candidate_intersect = 8, imag part of candidate_intersect = 2    
83      // Result 24, real part of candidate_intersect = 8, imag part of candidate_intersect = 3    
55      // Result 25, real part of candidate_intersect = 5, imag part of candidate_intersect = 5    
64      // Result 26, real part of candidate_intersect = 6, imag part of candidate_intersect = 4    
65      // Result 27, real part of candidate_intersect = 6, imag part of candidate_intersect = 5    
66      // Result 28, real part of candidate_intersect = 6, imag part of candidate_intersect = 6    
75      // Result 29, real part of candidate_intersect = 7, imag part of candidate_intersect = 5    
81      // Result 30, real part of candidate_intersect = 8, imag part of candidate_intersect = 1    
56      // Result 31, real part of candidate_intersect = 5, imag part of candidate_intersect = 6    
47      // Result 32, real part of candidate_intersect = 4, imag part of candidate_intersect = 7    
57      // Result 33, real part of candidate_intersect = 5, imag part of candidate_intersect = 7    
67      // Result 34, real part of candidate_intersect = 6, imag part of candidate_intersect = 7    
58      // Result 35, real part of candidate_intersect = 5, imag part of candidate_intersect = 8    
68      // Result 36, real part of candidate_intersect = 6, imag part of candidate_intersect = 8    
78      // Result 37, real part of candidate_intersect = 7, imag part of candidate_intersect = 8    
66      // Result 38, real part of candidate_intersect = 6, imag part of candidate_intersect = 6    
76      // Result 39, real part of candidate_intersect = 7, imag part of candidate_intersect = 6    
77      // Result 40, real part of candidate_intersect = 7, imag part of candidate_intersect = 7    
87      // Result 41, real part of candidate_intersect = 8, imag part of candidate_intersect = 7    
11      // Result 42, real part of candidate_intersect = 1, imag part of candidate_intersect = 1    
21      // Result 43, real part of candidate_intersect = 2, imag part of candidate_intersect = 1    
12      // Result 44, real part of candidate_intersect = 1, imag part of candidate_intersect = 2    
22      // Result 45, real part of candidate_intersect = 2, imag part of candidate_intersect = 2    
31      // Result 46, real part of candidate_intersect = 3, imag part of candidate_intersect = 1    
13      // Result 47, real part of candidate_intersect = 1, imag part of candidate_intersect = 3    
32      // Result 48, real part of candidate_intersect = 3, imag part of candidate_intersect = 2    
23      // Result 49, real part of candidate_intersect = 2, imag part of candidate_intersect = 3    
41      // Result 50, real part of candidate_intersect = 4, imag part of candidate_intersect = 1    
14      // Result 51, real part of candidate_intersect = 1, imag part of candidate_intersect = 4    
33      // Result 52, real part of candidate_intersect = 3, imag part of candidate_intersect = 3    
42      // Result 53, real part of candidate_intersect = 4, imag part of candidate_intersect = 2    
24      // Result 54, real part of candidate_intersect = 2, imag part of candidate_intersect = 4    
43      // Result 55, real part of candidate_intersect = 4, imag part of candidate_intersect = 3    
34      // Result 56, real part of candidate_intersect = 3, imag part of candidate_intersect = 4    
51      // Result 57, real part of candidate_intersect = 5, imag part of candidate_intersect = 1    
15      // Result 58, real part of candidate_intersect = 1, imag part of candidate_intersect = 5    
25      // Result 59, real part of candidate_intersect = 2, imag part of candidate_intersect = 5    
44      // Result 60, real part of candidate_intersect = 4, imag part of candidate_intersect = 4    
26      // Result 61, real part of candidate_intersect = 2, imag part of candidate_intersect = 6    
45      // Result 62, real part of candidate_intersect = 4, imag part of candidate_intersect = 5    
36      // Result 63, real part of candidate_intersect = 3, imag part of candidate_intersect = 6    
55      // Result 64, real part of candidate_intersect = 5, imag part of candidate_intersect = 5    
64      // Result 65, real part of candidate_intersect = 6, imag part of candidate_intersect = 4    
46      // Result 66, real part of candidate_intersect = 4, imag part of candidate_intersect = 6    
27      // Result 67, real part of candidate_intersect = 2, imag part of candidate_intersect = 7    
37      // Result 68, real part of candidate_intersect = 3, imag part of candidate_intersect = 7    
65      // Result 69, real part of candidate_intersect = 6, imag part of candidate_intersect = 5    
56      // Result 70, real part of candidate_intersect = 5, imag part of candidate_intersect = 6    
47      // Result 71, real part of candidate_intersect = 4, imag part of candidate_intersect = 7    
66      // Result 72, real part of candidate_intersect = 6, imag part of candidate_intersect = 6    
38      // Result 73, real part of candidate_intersect = 3, imag part of candidate_intersect = 8    
57      // Result 74, real part of candidate_intersect = 5, imag part of candidate_intersect = 7    
65      // Result 75, real part of candidate_intersect = 6, imag part of candidate_intersect = 5    
66      // Result 76, real part of candidate_intersect = 6, imag part of candidate_intersect = 6    
57      // Result 77, real part of candidate_intersect = 5, imag part of candidate_intersect = 7    
76      // Result 78, real part of candidate_intersect = 7, imag part of candidate_intersect = 6    
67      // Result 79, real part of candidate_intersect = 6, imag part of candidate_intersect = 7    
68      // Result 80, real part of candidate_intersect = 6, imag part of candidate_intersect = 8    
13      // Result 81, real part of candidate_intersect = 1, imag part of candidate_intersect = 3    
32      // Result 82, real part of candidate_intersect = 3, imag part of candidate_intersect = 2    
23      // Result 83, real part of candidate_intersect = 2, imag part of candidate_intersect = 3    
14      // Result 84, real part of candidate_intersect = 1, imag part of candidate_intersect = 4    
33      // Result 85, real part of candidate_intersect = 3, imag part of candidate_intersect = 3    
24      // Result 86, real part of candidate_intersect = 2, imag part of candidate_intersect = 4    
43      // Result 87, real part of candidate_intersect = 4, imag part of candidate_intersect = 3    
34      // Result 88, real part of candidate_intersect = 3, imag part of candidate_intersect = 4    
25      // Result 89, real part of candidate_intersect = 2, imag part of candidate_intersect = 5    
44      // Result 90, real part of candidate_intersect = 4, imag part of candidate_intersect = 4    
53      // Result 91, real part of candidate_intersect = 5, imag part of candidate_intersect = 3    
64      // Result 92, real part of candidate_intersect = 6, imag part of candidate_intersect = 4    
74      // Result 93, real part of candidate_intersect = 7, imag part of candidate_intersect = 4    
75      // Result 94, real part of candidate_intersect = 7, imag part of candidate_intersect = 5    
34      // Result 95, real part of candidate_intersect = 3, imag part of candidate_intersect = 4    
44      // Result 96, real part of candidate_intersect = 4, imag part of candidate_intersect = 4    
35      // Result 97, real part of candidate_intersect = 3, imag part of candidate_intersect = 5    
54      // Result 98, real part of candidate_intersect = 5, imag part of candidate_intersect = 4    
45      // Result 99, real part of candidate_intersect = 4, imag part of candidate_intersect = 5    
36      // Result 100, real part of candidate_intersect = 3, imag part of candidate_intersect = 6    
74      // Result 101, real part of candidate_intersect = 7, imag part of candidate_intersect = 4    
83      // Result 102, real part of candidate_intersect = 8, imag part of candidate_intersect = 3    
75      // Result 103, real part of candidate_intersect = 7, imag part of candidate_intersect = 5    
84      // Result 104, real part of candidate_intersect = 8, imag part of candidate_intersect = 4    
85      // Result 105, real part of candidate_intersect = 8, imag part of candidate_intersect = 5    
86      // Result 106, real part of candidate_intersect = 8, imag part of candidate_intersect = 6    
64      // Result 107, real part of candidate_intersect = 6, imag part of candidate_intersect = 4    
73      // Result 108, real part of candidate_intersect = 7, imag part of candidate_intersect = 3    
36      // Result 109, real part of candidate_intersect = 3, imag part of candidate_intersect = 6    
47      // Result 110, real part of candidate_intersect = 4, imag part of candidate_intersect = 7    
43      // Result 111, real part of candidate_intersect = 4, imag part of candidate_intersect = 3    
34      // Result 112, real part of candidate_intersect = 3, imag part of candidate_intersect = 4    
44      // Result 113, real part of candidate_intersect = 4, imag part of candidate_intersect = 4    
54      // Result 114, real part of candidate_intersect = 5, imag part of candidate_intersect = 4    
45      // Result 115, real part of candidate_intersect = 4, imag part of candidate_intersect = 5    
55      // Result 116, real part of candidate_intersect = 5, imag part of candidate_intersect = 5    
