0E      // Result 0, the length ofcandidate_intersect = 14    
07      // Result 1, the length ofcandidate_intersect = 7    
00      // Result 2, the length ofcandidate_intersect = 0    
09      // Result 3, the length ofcandidate_intersect = 9    
01      // Result 4, the length ofcandidate_intersect = 1    
0B      // Result 5, the length ofcandidate_intersect = 11    
21      // Result 6, the length ofcandidate_intersect = 33    
10      // Result 7, the length ofcandidate_intersect = 16    
0A      // Result 8, the length ofcandidate_intersect = 10    
08      // Result 9, the length ofcandidate_intersect = 8    
08      // Result 10, the length ofcandidate_intersect = 8    
0E      // Result 11, the length ofcandidate_intersect = 14    
06      // Result 12, the length ofcandidate_intersect = 6    
00      // Result 13, the length ofcandidate_intersect = 0    
00      // Result 14, the length ofcandidate_intersect = 0    
11      // Result 15, the length ofcandidate_intersect = 17    
09      // Result 16, the length ofcandidate_intersect = 9    
04      // Result 17, the length ofcandidate_intersect = 4    
0B      // Result 18, the length ofcandidate_intersect = 11    
06      // Result 19, the length ofcandidate_intersect = 6    
02      // Result 20, the length ofcandidate_intersect = 2    
07      // Result 21, the length ofcandidate_intersect = 7    
02      // Result 22, the length ofcandidate_intersect = 2    
04      // Result 23, the length ofcandidate_intersect = 4    
04      // Result 24, the length ofcandidate_intersect = 4    
00      // Result 25, the length ofcandidate_intersect = 0    
00      // Result 26, the length ofcandidate_intersect = 0    
06      // Result 27, the length ofcandidate_intersect = 6    
0C      // Result 28, the length ofcandidate_intersect = 12    
03      // Result 29, the length ofcandidate_intersect = 3    
02      // Result 30, the length ofcandidate_intersect = 2    
0C      // Result 31, the length ofcandidate_intersect = 12    
03      // Result 32, the length ofcandidate_intersect = 3    
01      // Result 33, the length ofcandidate_intersect = 1    
03      // Result 34, the length ofcandidate_intersect = 3    
0C      // Result 35, the length ofcandidate_intersect = 12    
0D      // Result 36, the length ofcandidate_intersect = 13    
09      // Result 37, the length ofcandidate_intersect = 9    
08      // Result 38, the length ofcandidate_intersect = 8    
08      // Result 39, the length ofcandidate_intersect = 8    
05      // Result 40, the length ofcandidate_intersect = 5    
04      // Result 41, the length ofcandidate_intersect = 4    
07      // Result 42, the length ofcandidate_intersect = 7    
03      // Result 43, the length ofcandidate_intersect = 3    
10      // Result 44, the length ofcandidate_intersect = 16    
08      // Result 45, the length ofcandidate_intersect = 8    
00      // Result 46, the length ofcandidate_intersect = 0    
07      // Result 47, the length ofcandidate_intersect = 7    
00      // Result 48, the length ofcandidate_intersect = 0    
09      // Result 49, the length ofcandidate_intersect = 9    
05      // Result 50, the length ofcandidate_intersect = 5    
0F      // Result 51, the length ofcandidate_intersect = 15    
03      // Result 52, the length ofcandidate_intersect = 3    
0D      // Result 53, the length ofcandidate_intersect = 13    
02      // Result 54, the length ofcandidate_intersect = 2    
08      // Result 55, the length ofcandidate_intersect = 8    
09      // Result 56, the length ofcandidate_intersect = 9    
06      // Result 57, the length ofcandidate_intersect = 6    
02      // Result 58, the length ofcandidate_intersect = 2    
06      // Result 59, the length ofcandidate_intersect = 6    
00      // Result 60, the length ofcandidate_intersect = 0    
00      // Result 61, the length ofcandidate_intersect = 0    
04      // Result 62, the length ofcandidate_intersect = 4    
00      // Result 63, the length ofcandidate_intersect = 0    
