25      // Result 0, real part of candidate = 2, imag part of candidate = 5    
33      // Result 1, real part of candidate = 3, imag part of candidate = 3    
34      // Result 2, real part of candidate = 3, imag part of candidate = 4    
35      // Result 3, real part of candidate = 3, imag part of candidate = 5    
36      // Result 4, real part of candidate = 3, imag part of candidate = 6    
37      // Result 5, real part of candidate = 3, imag part of candidate = 7    
43      // Result 6, real part of candidate = 4, imag part of candidate = 3    
44      // Result 7, real part of candidate = 4, imag part of candidate = 4    
45      // Result 8, real part of candidate = 4, imag part of candidate = 5    
46      // Result 9, real part of candidate = 4, imag part of candidate = 6    
47      // Result 10, real part of candidate = 4, imag part of candidate = 7    
52      // Result 11, real part of candidate = 5, imag part of candidate = 2    
53      // Result 12, real part of candidate = 5, imag part of candidate = 3    
54      // Result 13, real part of candidate = 5, imag part of candidate = 4    
55      // Result 14, real part of candidate = 5, imag part of candidate = 5    
56      // Result 15, real part of candidate = 5, imag part of candidate = 6    
57      // Result 16, real part of candidate = 5, imag part of candidate = 7    
58      // Result 17, real part of candidate = 5, imag part of candidate = 8    
63      // Result 18, real part of candidate = 6, imag part of candidate = 3    
64      // Result 19, real part of candidate = 6, imag part of candidate = 4    
65      // Result 20, real part of candidate = 6, imag part of candidate = 5    
66      // Result 21, real part of candidate = 6, imag part of candidate = 6    
67      // Result 22, real part of candidate = 6, imag part of candidate = 7    
73      // Result 23, real part of candidate = 7, imag part of candidate = 3    
74      // Result 24, real part of candidate = 7, imag part of candidate = 4    
75      // Result 25, real part of candidate = 7, imag part of candidate = 5    
76      // Result 26, real part of candidate = 7, imag part of candidate = 6    
77      // Result 27, real part of candidate = 7, imag part of candidate = 7    
85      // Result 28, real part of candidate = 8, imag part of candidate = 5    
26      // Result 29, real part of candidate = 2, imag part of candidate = 6    
35      // Result 30, real part of candidate = 3, imag part of candidate = 5    
36      // Result 31, real part of candidate = 3, imag part of candidate = 6    
37      // Result 32, real part of candidate = 3, imag part of candidate = 7    
44      // Result 33, real part of candidate = 4, imag part of candidate = 4    
45      // Result 34, real part of candidate = 4, imag part of candidate = 5    
46      // Result 35, real part of candidate = 4, imag part of candidate = 6    
47      // Result 36, real part of candidate = 4, imag part of candidate = 7    
48      // Result 37, real part of candidate = 4, imag part of candidate = 8    
55      // Result 38, real part of candidate = 5, imag part of candidate = 5    
56      // Result 39, real part of candidate = 5, imag part of candidate = 6    
57      // Result 40, real part of candidate = 5, imag part of candidate = 7    
66      // Result 41, real part of candidate = 6, imag part of candidate = 6    
56      // Result 42, real part of candidate = 5, imag part of candidate = 6    
65      // Result 43, real part of candidate = 6, imag part of candidate = 5    
66      // Result 44, real part of candidate = 6, imag part of candidate = 6    
67      // Result 45, real part of candidate = 6, imag part of candidate = 7    
74      // Result 46, real part of candidate = 7, imag part of candidate = 4    
75      // Result 47, real part of candidate = 7, imag part of candidate = 5    
76      // Result 48, real part of candidate = 7, imag part of candidate = 6    
77      // Result 49, real part of candidate = 7, imag part of candidate = 7    
78      // Result 50, real part of candidate = 7, imag part of candidate = 8    
85      // Result 51, real part of candidate = 8, imag part of candidate = 5    
86      // Result 52, real part of candidate = 8, imag part of candidate = 6    
87      // Result 53, real part of candidate = 8, imag part of candidate = 7    
