1D      // Result 0, the length of candidate = 29    
0D      // Result 1, the length of candidate = 13    
0C      // Result 2, the length of candidate = 12    
1B      // Result 3, the length of candidate = 27    
01      // Result 4, the length of candidate = 1    
0C      // Result 5, the length of candidate = 12    
14      // Result 6, the length of candidate = 20    
0F      // Result 7, the length of candidate = 15    
0C      // Result 8, the length of candidate = 12    
09      // Result 9, the length of candidate = 9    
0C      // Result 10, the length of candidate = 12    
01      // Result 11, the length of candidate = 1    
04      // Result 12, the length of candidate = 4    
0B      // Result 13, the length of candidate = 11    
0C      // Result 14, the length of candidate = 12    
0D      // Result 15, the length of candidate = 13    
04      // Result 16, the length of candidate = 4    
09      // Result 17, the length of candidate = 9    
0C      // Result 18, the length of candidate = 12    
04      // Result 19, the length of candidate = 4    
0C      // Result 20, the length of candidate = 12    
0C      // Result 21, the length of candidate = 12    
04      // Result 22, the length of candidate = 4    
04      // Result 23, the length of candidate = 4    
0D      // Result 24, the length of candidate = 13    
08      // Result 25, the length of candidate = 8    
04      // Result 26, the length of candidate = 4    
0B      // Result 27, the length of candidate = 11    
0C      // Result 28, the length of candidate = 12    
0C      // Result 29, the length of candidate = 12    
09      // Result 30, the length of candidate = 9    
06      // Result 31, the length of candidate = 6    
04      // Result 32, the length of candidate = 4    
04      // Result 33, the length of candidate = 4    
09      // Result 34, the length of candidate = 9    
08      // Result 35, the length of candidate = 8    
04      // Result 36, the length of candidate = 4    
09      // Result 37, the length of candidate = 9    
06      // Result 38, the length of candidate = 6    
06      // Result 39, the length of candidate = 6    
0D      // Result 40, the length of candidate = 13    
0D      // Result 41, the length of candidate = 13    
0C      // Result 42, the length of candidate = 12    
04      // Result 43, the length of candidate = 4    
08      // Result 44, the length of candidate = 8    
0D      // Result 45, the length of candidate = 13    
0D      // Result 46, the length of candidate = 13    
04      // Result 47, the length of candidate = 4    
0B      // Result 48, the length of candidate = 11    
0C      // Result 49, the length of candidate = 12    
09      // Result 50, the length of candidate = 9    
0D      // Result 51, the length of candidate = 13    
09      // Result 52, the length of candidate = 9    
09      // Result 53, the length of candidate = 9    
09      // Result 54, the length of candidate = 9    
08      // Result 55, the length of candidate = 8    
09      // Result 56, the length of candidate = 9    
0D      // Result 57, the length of candidate = 13    
04      // Result 58, the length of candidate = 4    
04      // Result 59, the length of candidate = 4    
03      // Result 60, the length of candidate = 3    
03      // Result 61, the length of candidate = 3    
03      // Result 62, the length of candidate = 3    
0D      // Result 63, the length of candidate = 13    
