25      // Result 0, real part of candidate_united = 2, imag part of candidate_united = 5    
33      // Result 1, real part of candidate_united = 3, imag part of candidate_united = 3    
34      // Result 2, real part of candidate_united = 3, imag part of candidate_united = 4    
35      // Result 3, real part of candidate_united = 3, imag part of candidate_united = 5    
36      // Result 4, real part of candidate_united = 3, imag part of candidate_united = 6    
43      // Result 5, real part of candidate_united = 4, imag part of candidate_united = 3    
44      // Result 6, real part of candidate_united = 4, imag part of candidate_united = 4    
45      // Result 7, real part of candidate_united = 4, imag part of candidate_united = 5    
52      // Result 8, real part of candidate_united = 5, imag part of candidate_united = 2    
53      // Result 9, real part of candidate_united = 5, imag part of candidate_united = 3    
54      // Result 10, real part of candidate_united = 5, imag part of candidate_united = 4    
55      // Result 11, real part of candidate_united = 5, imag part of candidate_united = 5    
63      // Result 12, real part of candidate_united = 6, imag part of candidate_united = 3    
26      // Result 13, real part of candidate_united = 2, imag part of candidate_united = 6    
35      // Result 14, real part of candidate_united = 3, imag part of candidate_united = 5    
44      // Result 15, real part of candidate_united = 4, imag part of candidate_united = 4    
72      // Result 16, real part of candidate_united = 7, imag part of candidate_united = 2    
81      // Result 17, real part of candidate_united = 8, imag part of candidate_united = 1    
82      // Result 18, real part of candidate_united = 8, imag part of candidate_united = 2    
83      // Result 19, real part of candidate_united = 8, imag part of candidate_united = 3    
81      // Result 20, real part of candidate_united = 8, imag part of candidate_united = 1    
47      // Result 21, real part of candidate_united = 4, imag part of candidate_united = 7    
56      // Result 22, real part of candidate_united = 5, imag part of candidate_united = 6    
57      // Result 23, real part of candidate_united = 5, imag part of candidate_united = 7    
58      // Result 24, real part of candidate_united = 5, imag part of candidate_united = 8    
67      // Result 25, real part of candidate_united = 6, imag part of candidate_united = 7    
68      // Result 26, real part of candidate_united = 6, imag part of candidate_united = 8    
78      // Result 27, real part of candidate_united = 7, imag part of candidate_united = 8    
35      // Result 28, real part of candidate_united = 3, imag part of candidate_united = 5    
57      // Result 29, real part of candidate_united = 5, imag part of candidate_united = 7    
65      // Result 30, real part of candidate_united = 6, imag part of candidate_united = 5    
66      // Result 31, real part of candidate_united = 6, imag part of candidate_united = 6    
67      // Result 32, real part of candidate_united = 6, imag part of candidate_united = 7    
68      // Result 33, real part of candidate_united = 6, imag part of candidate_united = 8    
76      // Result 34, real part of candidate_united = 7, imag part of candidate_united = 6    
74      // Result 35, real part of candidate_united = 7, imag part of candidate_united = 4    
75      // Result 36, real part of candidate_united = 7, imag part of candidate_united = 5    
83      // Result 37, real part of candidate_united = 8, imag part of candidate_united = 3    
84      // Result 38, real part of candidate_united = 8, imag part of candidate_united = 4    
85      // Result 39, real part of candidate_united = 8, imag part of candidate_united = 5    
86      // Result 40, real part of candidate_united = 8, imag part of candidate_united = 6    
35      // Result 41, real part of candidate_united = 3, imag part of candidate_united = 5    
46      // Result 42, real part of candidate_united = 4, imag part of candidate_united = 6    
81      // Result 43, real part of candidate_united = 8, imag part of candidate_united = 1    
54      // Result 44, real part of candidate_united = 5, imag part of candidate_united = 4    
63      // Result 45, real part of candidate_united = 6, imag part of candidate_united = 3    
64      // Result 46, real part of candidate_united = 6, imag part of candidate_united = 4    
65      // Result 47, real part of candidate_united = 6, imag part of candidate_united = 5    
74      // Result 48, real part of candidate_united = 7, imag part of candidate_united = 4    
73      // Result 49, real part of candidate_united = 7, imag part of candidate_united = 3    
62      // Result 50, real part of candidate_united = 6, imag part of candidate_united = 2    
71      // Result 51, real part of candidate_united = 7, imag part of candidate_united = 1    
72      // Result 52, real part of candidate_united = 7, imag part of candidate_united = 2    
81      // Result 53, real part of candidate_united = 8, imag part of candidate_united = 1    
62      // Result 54, real part of candidate_united = 6, imag part of candidate_united = 2    
71      // Result 55, real part of candidate_united = 7, imag part of candidate_united = 1    
72      // Result 56, real part of candidate_united = 7, imag part of candidate_united = 2    
73      // Result 57, real part of candidate_united = 7, imag part of candidate_united = 3    
82      // Result 58, real part of candidate_united = 8, imag part of candidate_united = 2    
83      // Result 59, real part of candidate_united = 8, imag part of candidate_united = 3    
84      // Result 60, real part of candidate_united = 8, imag part of candidate_united = 4    
12      // Result 61, real part of candidate_united = 1, imag part of candidate_united = 2    
21      // Result 62, real part of candidate_united = 2, imag part of candidate_united = 1    
13      // Result 63, real part of candidate_united = 1, imag part of candidate_united = 3    
14      // Result 64, real part of candidate_united = 1, imag part of candidate_united = 4    
22      // Result 65, real part of candidate_united = 2, imag part of candidate_united = 2    
23      // Result 66, real part of candidate_united = 2, imag part of candidate_united = 3    
24      // Result 67, real part of candidate_united = 2, imag part of candidate_united = 4    
25      // Result 68, real part of candidate_united = 2, imag part of candidate_united = 5    
33      // Result 69, real part of candidate_united = 3, imag part of candidate_united = 3    
34      // Result 70, real part of candidate_united = 3, imag part of candidate_united = 4    
75      // Result 71, real part of candidate_united = 7, imag part of candidate_united = 5    
85      // Result 72, real part of candidate_united = 8, imag part of candidate_united = 5    
66      // Result 73, real part of candidate_united = 6, imag part of candidate_united = 6    
75      // Result 74, real part of candidate_united = 7, imag part of candidate_united = 5    
68      // Result 75, real part of candidate_united = 6, imag part of candidate_united = 8    
77      // Result 76, real part of candidate_united = 7, imag part of candidate_united = 7    
78      // Result 77, real part of candidate_united = 7, imag part of candidate_united = 8    
88      // Result 78, real part of candidate_united = 8, imag part of candidate_united = 8    
61      // Result 79, real part of candidate_united = 6, imag part of candidate_united = 1    
71      // Result 80, real part of candidate_united = 7, imag part of candidate_united = 1    
72      // Result 81, real part of candidate_united = 7, imag part of candidate_united = 2    
81      // Result 82, real part of candidate_united = 8, imag part of candidate_united = 1    
82      // Result 83, real part of candidate_united = 8, imag part of candidate_united = 2    
83      // Result 84, real part of candidate_united = 8, imag part of candidate_united = 3    
33      // Result 85, real part of candidate_united = 3, imag part of candidate_united = 3    
42      // Result 86, real part of candidate_united = 4, imag part of candidate_united = 2    
43      // Result 87, real part of candidate_united = 4, imag part of candidate_united = 3    
52      // Result 88, real part of candidate_united = 5, imag part of candidate_united = 2    
22      // Result 89, real part of candidate_united = 2, imag part of candidate_united = 2    
32      // Result 90, real part of candidate_united = 3, imag part of candidate_united = 2    
33      // Result 91, real part of candidate_united = 3, imag part of candidate_united = 3    
34      // Result 92, real part of candidate_united = 3, imag part of candidate_united = 4    
43      // Result 93, real part of candidate_united = 4, imag part of candidate_united = 3    
26      // Result 94, real part of candidate_united = 2, imag part of candidate_united = 6    
27      // Result 95, real part of candidate_united = 2, imag part of candidate_united = 7    
35      // Result 96, real part of candidate_united = 3, imag part of candidate_united = 5    
36      // Result 97, real part of candidate_united = 3, imag part of candidate_united = 6    
37      // Result 98, real part of candidate_united = 3, imag part of candidate_united = 7    
38      // Result 99, real part of candidate_united = 3, imag part of candidate_united = 8    
46      // Result 100, real part of candidate_united = 4, imag part of candidate_united = 6    
47      // Result 101, real part of candidate_united = 4, imag part of candidate_united = 7    
76      // Result 102, real part of candidate_united = 7, imag part of candidate_united = 6    
85      // Result 103, real part of candidate_united = 8, imag part of candidate_united = 5    
86      // Result 104, real part of candidate_united = 8, imag part of candidate_united = 6    
87      // Result 105, real part of candidate_united = 8, imag part of candidate_united = 7    
66      // Result 106, real part of candidate_united = 6, imag part of candidate_united = 6    
67      // Result 107, real part of candidate_united = 6, imag part of candidate_united = 7    
77      // Result 108, real part of candidate_united = 7, imag part of candidate_united = 7    
78      // Result 109, real part of candidate_united = 7, imag part of candidate_united = 8    
87      // Result 110, real part of candidate_united = 8, imag part of candidate_united = 7    
66      // Result 111, real part of candidate_united = 6, imag part of candidate_united = 6    
75      // Result 112, real part of candidate_united = 7, imag part of candidate_united = 5    
76      // Result 113, real part of candidate_united = 7, imag part of candidate_united = 6    
77      // Result 114, real part of candidate_united = 7, imag part of candidate_united = 7    
86      // Result 115, real part of candidate_united = 8, imag part of candidate_united = 6    
46      // Result 116, real part of candidate_united = 4, imag part of candidate_united = 6    
55      // Result 117, real part of candidate_united = 5, imag part of candidate_united = 5    
56      // Result 118, real part of candidate_united = 5, imag part of candidate_united = 6    
57      // Result 119, real part of candidate_united = 5, imag part of candidate_united = 7    
66      // Result 120, real part of candidate_united = 6, imag part of candidate_united = 6    
63      // Result 121, real part of candidate_united = 6, imag part of candidate_united = 3    
73      // Result 122, real part of candidate_united = 7, imag part of candidate_united = 3    
74      // Result 123, real part of candidate_united = 7, imag part of candidate_united = 4    
85      // Result 124, real part of candidate_united = 8, imag part of candidate_united = 5    
17      // Result 125, real part of candidate_united = 1, imag part of candidate_united = 7    
18      // Result 126, real part of candidate_united = 1, imag part of candidate_united = 8    
27      // Result 127, real part of candidate_united = 2, imag part of candidate_united = 7    
28      // Result 128, real part of candidate_united = 2, imag part of candidate_united = 8    
37      // Result 129, real part of candidate_united = 3, imag part of candidate_united = 7    
64      // Result 130, real part of candidate_united = 6, imag part of candidate_united = 4    
73      // Result 131, real part of candidate_united = 7, imag part of candidate_united = 3    
74      // Result 132, real part of candidate_united = 7, imag part of candidate_united = 4    
75      // Result 133, real part of candidate_united = 7, imag part of candidate_united = 5    
82      // Result 134, real part of candidate_united = 8, imag part of candidate_united = 2    
83      // Result 135, real part of candidate_united = 8, imag part of candidate_united = 3    
84      // Result 136, real part of candidate_united = 8, imag part of candidate_united = 4    
85      // Result 137, real part of candidate_united = 8, imag part of candidate_united = 5    
86      // Result 138, real part of candidate_united = 8, imag part of candidate_united = 6    
17      // Result 139, real part of candidate_united = 1, imag part of candidate_united = 7    
27      // Result 140, real part of candidate_united = 2, imag part of candidate_united = 7    
