0000      //Pixel 0: 000
0000      //Pixel 1: 000
0000      //Pixel 2: 000
0000      //Pixel 3: 000
0000      //Pixel 4: 000
0000      //Pixel 5: 000
0000      //Pixel 6: 000
0000      //Pixel 7: 000
0000      //Pixel 8: 000
0000      //Pixel 9: 000
0000      //Pixel 10: 000
0000      //Pixel 11: 000
0000      //Pixel 12: 000
0000      //Pixel 13: 000
0000      //Pixel 14: 000
0000      //Pixel 15: 000
0000      //Pixel 16: 000
0000      //Pixel 17: 000
0000      //Pixel 18: 000
0000      //Pixel 19: 000
0000      //Pixel 20: 000
0000      //Pixel 21: 000
0000      //Pixel 22: 000
0000      //Pixel 23: 000
0000      //Pixel 24: 000
0000      //Pixel 25: 000
0000      //Pixel 26: 000
0000      //Pixel 27: 000
0000      //Pixel 28: 000
0000      //Pixel 29: 000
0000      //Pixel 30: 000
0000      //Pixel 31: 000
0000      //Pixel 32: 000
0000      //Pixel 33: 000
0000      //Pixel 34: 000
0000      //Pixel 35: 000
0000      //Pixel 36: 000
0000      //Pixel 37: 000
0000      //Pixel 38: 000
0000      //Pixel 39: 000
0000      //Pixel 40: 000
0000      //Pixel 41: 000
0000      //Pixel 42: 000
0000      //Pixel 43: 000
0000      //Pixel 44: 000
0000      //Pixel 45: 000
0000      //Pixel 46: 000
0000      //Pixel 47: 000
0000      //Pixel 48: 000
0000      //Pixel 49: 000
0000      //Pixel 50: 000
0000      //Pixel 51: 000
0000      //Pixel 52: 000
0000      //Pixel 53: 000
0000      //Pixel 54: 000
0000      //Pixel 55: 000
0000      //Pixel 56: 000
0000      //Pixel 57: 000
0000      //Pixel 58: 000
0000      //Pixel 59: 000
0000      //Pixel 60: 000
0000      //Pixel 61: 000
0000      //Pixel 62: 000
0000      //Pixel 63: 000
0000      //Pixel 64: 000
0000      //Pixel 65: 000
0000      //Pixel 66: 000
0000      //Pixel 67: 000
0000      //Pixel 68: 000
0000      //Pixel 69: 000
0000      //Pixel 70: 000
0000      //Pixel 71: 000
0000      //Pixel 72: 000
0000      //Pixel 73: 000
0000      //Pixel 74: 000
0000      //Pixel 75: 000
0000      //Pixel 76: 000
0000      //Pixel 77: 000
0000      //Pixel 78: 000
0000      //Pixel 79: 000
0000      //Pixel 80: 000
0000      //Pixel 81: 000
0000      //Pixel 82: 000
0000      //Pixel 83: 000
0000      //Pixel 84: 000
0000      //Pixel 85: 000
0000      //Pixel 86: 000
0000      //Pixel 87: 000
0000      //Pixel 88: 000
0000      //Pixel 89: 000
0000      //Pixel 90: 000
0000      //Pixel 91: 000
0000      //Pixel 92: 000
0000      //Pixel 93: 000
0000      //Pixel 94: 000
0000      //Pixel 95: 000
0000      //Pixel 96: 000
0000      //Pixel 97: 000
0000      //Pixel 98: 000
0000      //Pixel 99: 000
0000      //Pixel 100: 000
0000      //Pixel 101: 000
0000      //Pixel 102: 000
0000      //Pixel 103: 000
00FF      //Pixel 104: 255
8007      //Pixel 105: 32775
F800      //Pixel 106: 63488
0FC0      //Pixel 107: 4032
3FFF      //Pixel 108: 16383
C003      //Pixel 109: 49155
FC01      //Pixel 110: 64513
FF00      //Pixel 111: 65280
01FF      //Pixel 112: 511
E01F      //Pixel 113: 57375
FC00      //Pixel 114: 64512
