4 // Shift Right
4 // Shift Right
6 // Min
4 // Shift Right
9 // Clockwise Rotation
4 // Shift Right
b // Mirror Y
1 // Shift Up
7 // Average
3 // Shift Left
8 // Counterclockwise Rotation
1 // Shift Up
5 // Max
3 // Shift Left
a // Mirror X
1 // Shift Up
9 // Clockwise Rotation
1 // Shift Up
a // Mirror X
1 // Shift Up
b // Mirror Y
a // Mirror X
2 // Shift Down
3 // Shift Left
2 // Shift Down
9 // Clockwise Rotation
3 // Shift Left
5 // Max
2 // Shift Down
a // Mirror X
3 // Shift Left
6 // Min
3 // Shift Left
8 // Counterclockwise Rotation
2 // Shift Down
b // Mirror Y
4 // Shift Right
7 // Average
2 // Shift Down
2 // Shfit Down
9 // Clockwise Rotation
2 // Shfit Down
4 // Shift Right
a // Mirror X
9 // Clockwise Rotation
0 // Write
