04906      //Pixel 0: 2.852478e-01
05080      //Pixel 1: 3.144531e-01
05926      //Pixel 2: 3.482361e-01
06094      //Pixel 3: 3.772583e-01
063C3      //Pixel 4: 3.896942e-01
0669B      //Pixel 5: 4.008026e-01
0688D      //Pixel 6: 4.084015e-01
06ADA      //Pixel 7: 4.173889e-01
06C4A      //Pixel 8: 4.230042e-01
06E89      //Pixel 9: 4.317780e-01
070D3      //Pixel 10: 4.407196e-01
07233      //Pixel 11: 4.460907e-01
073A3      //Pixel 12: 4.517059e-01
07490      //Pixel 13: 4.553223e-01
0758F      //Pixel 14: 4.592133e-01
075C1      //Pixel 15: 4.599762e-01
0759F      //Pixel 16: 4.594574e-01
0759E      //Pixel 17: 4.594421e-01
074C1      //Pixel 18: 4.560699e-01
073CD      //Pixel 19: 4.523468e-01
0717E      //Pixel 20: 4.433289e-01
06FF7      //Pixel 21: 4.373627e-01
06E98      //Pixel 22: 4.320068e-01
06D12      //Pixel 23: 4.260559e-01
06B17      //Pixel 24: 4.183197e-01
0694D      //Pixel 25: 4.113312e-01
066AB      //Pixel 26: 4.010468e-01
063FF      //Pixel 27: 3.906097e-01
06162      //Pixel 28: 3.804016e-01
05E94      //Pixel 29: 3.694458e-01
05B21      //Pixel 30: 3.559723e-01
05698      //Pixel 31: 3.382568e-01
02692      //Pixel 32: 1.506653e-01
02934      //Pixel 33: 1.609497e-01
02F30      //Pixel 34: 1.843262e-01
0358C      //Pixel 35: 2.091675e-01
037E9      //Pixel 36: 2.183990e-01
039F6      //Pixel 37: 2.264099e-01
03C05      //Pixel 38: 2.344513e-01
03DE9      //Pixel 39: 2.418365e-01
03F09      //Pixel 40: 2.462311e-01
040A4      //Pixel 41: 2.525024e-01
04282      //Pixel 42: 2.597961e-01
04433      //Pixel 43: 2.664032e-01
045D1      //Pixel 44: 2.727203e-01
04612      //Pixel 45: 2.737122e-01
046D6      //Pixel 46: 2.767029e-01
047C2      //Pixel 47: 2.803040e-01
0473C      //Pixel 48: 2.782593e-01
04782      //Pixel 49: 2.793274e-01
0466B      //Pixel 50: 2.750702e-01
0455B      //Pixel 51: 2.709198e-01
04472      //Pixel 52: 2.673645e-01
042BB      //Pixel 53: 2.606659e-01
041B1      //Pixel 54: 2.566071e-01
03F98      //Pixel 55: 2.484131e-01
03E7D      //Pixel 56: 2.440948e-01
03CC7      //Pixel 57: 2.374115e-01
03ACE      //Pixel 58: 2.297058e-01
038DD      //Pixel 59: 2.221222e-01
