00000      //Pixel 0: 0
04906      //Pixel 1: 2.852478e-01
00000      //Pixel 2: 0
05080      //Pixel 3: 3.144531e-01
00000      //Pixel 4: 0
05926      //Pixel 5: 3.482361e-01
00000      //Pixel 6: 0
06094      //Pixel 7: 3.772583e-01
00000      //Pixel 8: 0
063C3      //Pixel 9: 3.896942e-01
00000      //Pixel 10: 0
0669B      //Pixel 11: 4.008026e-01
00000      //Pixel 12: 0
0688D      //Pixel 13: 4.084015e-01
00000      //Pixel 14: 0
06ADA      //Pixel 15: 4.173889e-01
00000      //Pixel 16: 0
06C4A      //Pixel 17: 4.230042e-01
00000      //Pixel 18: 0
06E89      //Pixel 19: 4.317780e-01
00000      //Pixel 20: 0
070D3      //Pixel 21: 4.407196e-01
00000      //Pixel 22: 0
07233      //Pixel 23: 4.460907e-01
00000      //Pixel 24: 0
073A3      //Pixel 25: 4.517059e-01
00000      //Pixel 26: 0
07490      //Pixel 27: 4.553223e-01
00000      //Pixel 28: 0
0758F      //Pixel 29: 4.592133e-01
00000      //Pixel 30: 0
075C1      //Pixel 31: 4.599762e-01
00000      //Pixel 32: 0
0759F      //Pixel 33: 4.594574e-01
00000      //Pixel 34: 0
0759E      //Pixel 35: 4.594421e-01
00000      //Pixel 36: 0
074C1      //Pixel 37: 4.560699e-01
00000      //Pixel 38: 0
073CD      //Pixel 39: 4.523468e-01
00000      //Pixel 40: 0
0717E      //Pixel 41: 4.433289e-01
00000      //Pixel 42: 0
06FF7      //Pixel 43: 4.373627e-01
00000      //Pixel 44: 0
06E98      //Pixel 45: 4.320068e-01
00000      //Pixel 46: 0
06D12      //Pixel 47: 4.260559e-01
00000      //Pixel 48: 0
06B17      //Pixel 49: 4.183197e-01
00000      //Pixel 50: 0
0694D      //Pixel 51: 4.113312e-01
00000      //Pixel 52: 0
066AB      //Pixel 53: 4.010468e-01
00000      //Pixel 54: 0
063FF      //Pixel 55: 3.906097e-01
00000      //Pixel 56: 0
06162      //Pixel 57: 3.804016e-01
00000      //Pixel 58: 0
05E94      //Pixel 59: 3.694458e-01
00000      //Pixel 60: 0
05B21      //Pixel 61: 3.559723e-01
0500F      //Pixel 62: 3.127289e-01
05698      //Pixel 63: 3.382568e-01
00000      //Pixel 64: 0
02692      //Pixel 65: 1.506653e-01
00000      //Pixel 66: 0
02934      //Pixel 67: 1.609497e-01
00000      //Pixel 68: 0
02F30      //Pixel 69: 1.843262e-01
00000      //Pixel 70: 0
0358C      //Pixel 71: 2.091675e-01
00000      //Pixel 72: 0
037E9      //Pixel 73: 2.183990e-01
00000      //Pixel 74: 0
039F6      //Pixel 75: 2.264099e-01
00000      //Pixel 76: 0
03C05      //Pixel 77: 2.344513e-01
00000      //Pixel 78: 0
03DE9      //Pixel 79: 2.418365e-01
00000      //Pixel 80: 0
03F09      //Pixel 81: 2.462311e-01
00000      //Pixel 82: 0
040A4      //Pixel 83: 2.525024e-01
00000      //Pixel 84: 0
04282      //Pixel 85: 2.597961e-01
00000      //Pixel 86: 0
04433      //Pixel 87: 2.664032e-01
00000      //Pixel 88: 0
045D1      //Pixel 89: 2.727203e-01
00000      //Pixel 90: 0
04612      //Pixel 91: 2.737122e-01
00000      //Pixel 92: 0
046D6      //Pixel 93: 2.767029e-01
00000      //Pixel 94: 0
047C2      //Pixel 95: 2.803040e-01
00124      //Pixel 96: 4.455566e-03
0473C      //Pixel 97: 2.782593e-01
00DDB      //Pixel 98: 5.412292e-02
04782      //Pixel 99: 2.793274e-01
00000      //Pixel 100: 0
0466B      //Pixel 101: 2.750702e-01
00000      //Pixel 102: 0
0455B      //Pixel 103: 2.709198e-01
00000      //Pixel 104: 0
04472      //Pixel 105: 2.673645e-01
00000      //Pixel 106: 0
042BB      //Pixel 107: 2.606659e-01
00000      //Pixel 108: 0
041B1      //Pixel 109: 2.566071e-01
00000      //Pixel 110: 0
03F98      //Pixel 111: 2.484131e-01
00000      //Pixel 112: 0
03E7D      //Pixel 113: 2.440948e-01
00000      //Pixel 114: 0
03CC7      //Pixel 115: 2.374115e-01
00000      //Pixel 116: 0
03ACE      //Pixel 117: 2.297058e-01
00000      //Pixel 118: 0
038DD      //Pixel 119: 2.221222e-01
00000      //Pixel 120: 0
03647      //Pixel 121: 2.120209e-01
00000      //Pixel 122: 0
0343C      //Pixel 123: 2.040405e-01
00000      //Pixel 124: 0
03125      //Pixel 125: 1.919708e-01
051A7      //Pixel 126: 3.189545e-01
02E0A      //Pixel 127: 1.798401e-01
00000      //Pixel 128: 0
0268E      //Pixel 129: 1.506042e-01
00000      //Pixel 130: 0
029CB      //Pixel 131: 1.632538e-01
00000      //Pixel 132: 0
02F80      //Pixel 133: 1.855469e-01
00000      //Pixel 134: 0
0359A      //Pixel 135: 2.093811e-01
00000      //Pixel 136: 0
038B2      //Pixel 137: 2.214661e-01
00000      //Pixel 138: 0
03AB1      //Pixel 139: 2.292633e-01
00000      //Pixel 140: 0
03CB3      //Pixel 141: 2.371063e-01
00000      //Pixel 142: 0
03E02      //Pixel 143: 2.422180e-01
00000      //Pixel 144: 0
03FBA      //Pixel 145: 2.489319e-01
00000      //Pixel 146: 0
0419F      //Pixel 147: 2.563324e-01
00000      //Pixel 148: 0
04315      //Pixel 149: 2.620392e-01
00000      //Pixel 150: 0
044B6      //Pixel 151: 2.684021e-01
00000      //Pixel 152: 0
0461A      //Pixel 153: 2.738342e-01
00000      //Pixel 154: 0
04748      //Pixel 155: 2.784424e-01
00000      //Pixel 156: 0
046D6      //Pixel 157: 2.767029e-01
00000      //Pixel 158: 0
046DD      //Pixel 159: 2.768097e-01
06C25      //Pixel 160: 4.224396e-01
024E0      //Pixel 161: 1.440430e-01
07E36      //Pixel 162: 4.930115e-01
00FDB      //Pixel 163: 6.193542e-02
0171E      //Pixel 164: 9.030151e-02
03A00      //Pixel 165: 2.265625e-01
00000      //Pixel 166: 0
04623      //Pixel 167: 2.739716e-01
00000      //Pixel 168: 0
04598      //Pixel 169: 2.718506e-01
07312      //Pixel 170: 4.494934e-01
0305C      //Pixel 171: 1.889038e-01
074B2      //Pixel 172: 4.558411e-01
03603      //Pixel 173: 2.109833e-01
00815      //Pixel 174: 3.157043e-02
03FBA      //Pixel 175: 2.489319e-01
00000      //Pixel 176: 0
03FD9      //Pixel 177: 2.494049e-01
00000      //Pixel 178: 0
03D88      //Pixel 179: 2.403564e-01
00000      //Pixel 180: 0
03B4D      //Pixel 181: 2.316437e-01
00000      //Pixel 182: 0
03915      //Pixel 183: 2.229767e-01
00000      //Pixel 184: 0
0369D      //Pixel 185: 2.133331e-01
00000      //Pixel 186: 0
033E1      //Pixel 187: 2.026520e-01
00000      //Pixel 188: 0
0315F      //Pixel 189: 1.928558e-01
05170      //Pixel 190: 3.181152e-01
02E37      //Pixel 191: 1.805267e-01
00000      //Pixel 192: 0
0270D      //Pixel 193: 1.525421e-01
00000      //Pixel 194: 0
02A6B      //Pixel 195: 1.656952e-01
00000      //Pixel 196: 0
03057      //Pixel 197: 1.888275e-01
00000      //Pixel 198: 0
0353B      //Pixel 199: 2.079315e-01
00000      //Pixel 200: 0
03857      //Pixel 201: 2.200775e-01
00000      //Pixel 202: 0
03AFF      //Pixel 203: 2.304535e-01
00000      //Pixel 204: 0
03CEF      //Pixel 205: 2.380219e-01
00000      //Pixel 206: 0
03F69      //Pixel 207: 2.476959e-01
00000      //Pixel 208: 0
04143      //Pixel 209: 2.549286e-01
00000      //Pixel 210: 0
0421B      //Pixel 211: 2.582245e-01
00000      //Pixel 212: 0
043D9      //Pixel 213: 2.650299e-01
00000      //Pixel 214: 0
04541      //Pixel 215: 2.705231e-01
00000      //Pixel 216: 0
0467C      //Pixel 217: 2.753296e-01
00000      //Pixel 218: 0
04782      //Pixel 219: 2.793274e-01
00000      //Pixel 220: 0
047D1      //Pixel 221: 2.805328e-01
00000      //Pixel 222: 0
04889      //Pixel 223: 2.833405e-01
04498      //Pixel 224: 2.679443e-01
02636      //Pixel 225: 1.492615e-01
020D7      //Pixel 226: 1.282806e-01
00000      //Pixel 227: 0
00000      //Pixel 228: 0
01AC6      //Pixel 229: 1.045837e-01
00000      //Pixel 230: 0
0455D      //Pixel 231: 2.709503e-01
008A2      //Pixel 232: 3.372192e-02
0464F      //Pixel 233: 2.746429e-01
06967      //Pixel 234: 4.117279e-01
01AEE      //Pixel 235: 1.051941e-01
05776      //Pixel 236: 3.416443e-01
0001A      //Pixel 237: 3.967285e-04
001B2      //Pixel 238: 6.622314e-03
03611      //Pixel 239: 2.111969e-01
00000      //Pixel 240: 0
03FA6      //Pixel 241: 2.486267e-01
00000      //Pixel 242: 0
03D44      //Pixel 243: 2.393188e-01
00000      //Pixel 244: 0
03B7E      //Pixel 245: 2.323914e-01
00000      //Pixel 246: 0
03999      //Pixel 247: 2.249908e-01
00000      //Pixel 248: 0
036CC      //Pixel 249: 2.140503e-01
00000      //Pixel 250: 0
033EB      //Pixel 251: 2.028046e-01
00000      //Pixel 252: 0
03141      //Pixel 253: 1.923981e-01
0529A      //Pixel 254: 3.226624e-01
02EF1      //Pixel 255: 1.833649e-01
00000      //Pixel 256: 0
027B7      //Pixel 257: 1.551361e-01
00000      //Pixel 258: 0
02A47      //Pixel 259: 1.651459e-01
00000      //Pixel 260: 0
03006      //Pixel 261: 1.875916e-01
00000      //Pixel 262: 0
0359A      //Pixel 263: 2.093811e-01
00000      //Pixel 264: 0
038D7      //Pixel 265: 2.220306e-01
00000      //Pixel 266: 0
03AFF      //Pixel 267: 2.304535e-01
00000      //Pixel 268: 0
03D39      //Pixel 269: 2.391510e-01
00000      //Pixel 270: 0
03F77      //Pixel 271: 2.479095e-01
00000      //Pixel 272: 0
04143      //Pixel 273: 2.549286e-01
00000      //Pixel 274: 0
042D8      //Pixel 275: 2.611084e-01
00000      //Pixel 276: 0
0444F      //Pixel 277: 2.668304e-01
00000      //Pixel 278: 0
045A2      //Pixel 279: 2.720032e-01
00000      //Pixel 280: 0
04649      //Pixel 281: 2.745514e-01
00000      //Pixel 282: 0
047B5      //Pixel 283: 2.801056e-01
02F50      //Pixel 284: 1.848145e-01
0462E      //Pixel 285: 2.741394e-01
0283F      //Pixel 286: 1.572113e-01
04798      //Pixel 287: 2.796631e-01
0172D      //Pixel 288: 9.053040e-02
03427      //Pixel 289: 2.037201e-01
00000      //Pixel 290: 0
00000      //Pixel 291: 0
00000      //Pixel 292: 0
01794      //Pixel 293: 9.210205e-02
00000      //Pixel 294: 0
046AA      //Pixel 295: 2.760315e-01
005EC      //Pixel 296: 2.313232e-02
04628      //Pixel 297: 2.740479e-01
02C30      //Pixel 298: 1.726074e-01
019BE      //Pixel 299: 1.005554e-01
007FA      //Pixel 300: 3.115845e-02
00000      //Pixel 301: 0
00000      //Pixel 302: 0
02FEA      //Pixel 303: 1.871643e-01
00000      //Pixel 304: 0
0405F      //Pixel 305: 2.514496e-01
00000      //Pixel 306: 0
03EC6      //Pixel 307: 2.452087e-01
00000      //Pixel 308: 0
03C8B      //Pixel 309: 2.364960e-01
00000      //Pixel 310: 0
03A13      //Pixel 311: 2.268524e-01
00000      //Pixel 312: 0
0370E      //Pixel 313: 2.150574e-01
00000      //Pixel 314: 0
0348C      //Pixel 315: 2.052612e-01
00000      //Pixel 316: 0
031D3      //Pixel 317: 1.946259e-01
05213      //Pixel 318: 3.206024e-01
02EE8      //Pixel 319: 1.832275e-01
00000      //Pixel 320: 0
0292F      //Pixel 321: 1.608734e-01
00000      //Pixel 322: 0
02B35      //Pixel 323: 1.687775e-01
00000      //Pixel 324: 0
0304C      //Pixel 325: 1.886597e-01
00000      //Pixel 326: 0
035C8      //Pixel 327: 2.100830e-01
00000      //Pixel 328: 0
0395A      //Pixel 329: 2.240295e-01
00000      //Pixel 330: 0
03B31      //Pixel 331: 2.312164e-01
00000      //Pixel 332: 0
03D78      //Pixel 333: 2.401123e-01
00000      //Pixel 334: 0
03FC9      //Pixel 335: 2.491608e-01
00000      //Pixel 336: 0
04160      //Pixel 337: 2.553711e-01
00000      //Pixel 338: 0
042DB      //Pixel 339: 2.611542e-01
00000      //Pixel 340: 0
0443F      //Pixel 341: 2.665863e-01
00000      //Pixel 342: 0
04566      //Pixel 343: 2.710876e-01
00000      //Pixel 344: 0
0467F      //Pixel 345: 2.753754e-01
02EAE      //Pixel 346: 1.823425e-01
045EC      //Pixel 347: 2.731323e-01
0975E      //Pixel 348: 5.912781e-01
01C4F      //Pixel 349: 1.105804e-01
05F44      //Pixel 350: 3.721313e-01
01486      //Pixel 351: 8.016968e-02
0293F      //Pixel 352: 1.611176e-01
0271D      //Pixel 353: 1.527863e-01
00DEC      //Pixel 354: 5.438232e-02
00000      //Pixel 355: 0
00000      //Pixel 356: 0
0116D      //Pixel 357: 6.806946e-02
00000      //Pixel 358: 0
04685      //Pixel 359: 2.754669e-01
006B7      //Pixel 360: 2.622986e-02
04639      //Pixel 361: 2.743073e-01
02C59      //Pixel 362: 1.732330e-01
0190C      //Pixel 363: 9.783936e-02
002E7      //Pixel 364: 1.133728e-02
00000      //Pixel 365: 0
00000      //Pixel 366: 0
0298F      //Pixel 367: 1.623383e-01
00000      //Pixel 368: 0
0415F      //Pixel 369: 2.553558e-01
00000      //Pixel 370: 0
03F28      //Pixel 371: 2.467041e-01
00000      //Pixel 372: 0
03CCD      //Pixel 373: 2.375031e-01
00000      //Pixel 374: 0
03AD7      //Pixel 375: 2.298431e-01
00000      //Pixel 376: 0
037E3      //Pixel 377: 2.183075e-01
00000      //Pixel 378: 0
03580      //Pixel 379: 2.089844e-01
00000      //Pixel 380: 0
031EF      //Pixel 381: 1.950531e-01
05213      //Pixel 382: 3.206024e-01
02EB1      //Pixel 383: 1.823883e-01
00000      //Pixel 384: 0
028DB      //Pixel 385: 1.595917e-01
00000      //Pixel 386: 0
02BB9      //Pixel 387: 1.707916e-01
00000      //Pixel 388: 0
03203      //Pixel 389: 1.953583e-01
00000      //Pixel 390: 0
036A2      //Pixel 391: 2.134094e-01
00000      //Pixel 392: 0
03992      //Pixel 393: 2.248840e-01
00000      //Pixel 394: 0
03C83      //Pixel 395: 2.363739e-01
00000      //Pixel 396: 0
03F25      //Pixel 397: 2.466583e-01
00000      //Pixel 398: 0
040BA      //Pixel 399: 2.528381e-01
00000      //Pixel 400: 0
041C6      //Pixel 401: 2.569275e-01
00000      //Pixel 402: 0
042D1      //Pixel 403: 2.610016e-01
00000      //Pixel 404: 0
04484      //Pixel 405: 2.676392e-01
00000      //Pixel 406: 0
045FE      //Pixel 407: 2.734070e-01
00000      //Pixel 408: 0
046CA      //Pixel 409: 2.765198e-01
