0A89E      //Pixel 0: 6.586609e-01
FDB55      //Pixel 1: -1.432343e-01
092D5      //Pixel 2: 5.735626e-01
02992      //Pixel 3: 1.623840e-01
06D43      //Pixel 4: 4.268036e-01
FC994      //Pixel 5: -2.125854e-01
01004      //Pixel 6: 6.256104e-02
050FD      //Pixel 7: 3.163605e-01
F8F71      //Pixel 8: -4.396820e-01
02F20      //Pixel 9: 1.840820e-01
F6E54      //Pixel 10: -5.690308e-01
0202D      //Pixel 11: 1.256866e-01
FA6D7      //Pixel 12: -3.482819e-01
03BD7      //Pixel 13: 2.337494e-01
FC834      //Pixel 14: -2.179565e-01
FD369      //Pixel 15: -1.741791e-01
FAC19      //Pixel 16: -3.277435e-01
05E68      //Pixel 17: 3.687744e-01
