0C7C7      //Pixel 0: 7.803802e-01
0CACA      //Pixel 1: 7.921448e-01
0CECE      //Pixel 2: 8.078308e-01
0D1D1      //Pixel 3: 8.195953e-01
0D4D4      //Pixel 4: 8.313599e-01
0DCDC      //Pixel 5: 8.627319e-01
0DFDF      //Pixel 6: 8.744965e-01
0E0E0      //Pixel 7: 8.784180e-01
0E2E2      //Pixel 8: 8.862610e-01
0E4E4      //Pixel 9: 8.941040e-01
0E5E5      //Pixel 10: 8.980255e-01
0E6E6      //Pixel 11: 9.019470e-01
0E7E7      //Pixel 12: 9.058685e-01
0E8E8      //Pixel 13: 9.097900e-01
0E9E9      //Pixel 14: 9.137115e-01
0EBEB      //Pixel 15: 9.215546e-01
0EBEB      //Pixel 16: 9.215546e-01
0ECEC      //Pixel 17: 9.254761e-01
0ECEC      //Pixel 18: 9.254761e-01
0EFEF      //Pixel 19: 9.372406e-01
0EFEF      //Pixel 20: 9.372406e-01
0F0F0      //Pixel 21: 9.411621e-01
0F1F1      //Pixel 22: 9.450836e-01
0F1F1      //Pixel 23: 9.450836e-01
0F2F2      //Pixel 24: 9.490051e-01
0F3F3      //Pixel 25: 9.529266e-01
0F3F3      //Pixel 26: 9.529266e-01
0F4F4      //Pixel 27: 9.568481e-01
0F4F4      //Pixel 28: 9.568481e-01
0F5F5      //Pixel 29: 9.607697e-01
0F5F5      //Pixel 30: 9.607697e-01
0F4F4      //Pixel 31: 9.568481e-01
0F5F5      //Pixel 32: 9.607697e-01
0F5F5      //Pixel 33: 9.607697e-01
0F5F5      //Pixel 34: 9.607697e-01
0F4F4      //Pixel 35: 9.568481e-01
0F4F4      //Pixel 36: 9.568481e-01
0F3F3      //Pixel 37: 9.529266e-01
0F3F3      //Pixel 38: 9.529266e-01
0F1F1      //Pixel 39: 9.450836e-01
0F0F0      //Pixel 40: 9.411621e-01
0F0F0      //Pixel 41: 9.411621e-01
0EFEF      //Pixel 42: 9.372406e-01
0EFEF      //Pixel 43: 9.372406e-01
0EDED      //Pixel 44: 9.293976e-01
0EDED      //Pixel 45: 9.293976e-01
0ECEC      //Pixel 46: 9.254761e-01
0EBEB      //Pixel 47: 9.215546e-01
0EBEB      //Pixel 48: 9.215546e-01
0EAEA      //Pixel 49: 9.176331e-01
0EAEA      //Pixel 50: 9.176331e-01
0E8E8      //Pixel 51: 9.097900e-01
0E6E6      //Pixel 52: 9.019470e-01
0E5E5      //Pixel 53: 8.980255e-01
0E4E4      //Pixel 54: 8.941040e-01
0E3E3      //Pixel 55: 8.901825e-01
0E2E2      //Pixel 56: 8.862610e-01
0E0E0      //Pixel 57: 8.784180e-01
0DFDF      //Pixel 58: 8.744965e-01
0DDDD      //Pixel 59: 8.666534e-01
0DBDB      //Pixel 60: 8.588104e-01
0D9D9      //Pixel 61: 8.509674e-01
0D7D7      //Pixel 62: 8.431244e-01
0D4D4      //Pixel 63: 8.313599e-01
0C8C8      //Pixel 64: 7.843018e-01
0CECE      //Pixel 65: 8.078308e-01
0D0D0      //Pixel 66: 8.156738e-01
0D1D1      //Pixel 67: 8.195953e-01
0D5D5      //Pixel 68: 8.352814e-01
0DCDC      //Pixel 69: 8.627319e-01
0E0E0      //Pixel 70: 8.784180e-01
0E1E1      //Pixel 71: 8.823395e-01
0E3E3      //Pixel 72: 8.901825e-01
0E5E5      //Pixel 73: 8.980255e-01
0E6E6      //Pixel 74: 9.019470e-01
0E6E6      //Pixel 75: 9.019470e-01
0E8E8      //Pixel 76: 9.097900e-01
0E9E9      //Pixel 77: 9.137115e-01
0EAEA      //Pixel 78: 9.176331e-01
0EBEB      //Pixel 79: 9.215546e-01
0ECEC      //Pixel 80: 9.254761e-01
0EDED      //Pixel 81: 9.293976e-01
0EDED      //Pixel 82: 9.293976e-01
0EFEF      //Pixel 83: 9.372406e-01
0F0F0      //Pixel 84: 9.411621e-01
0F0F0      //Pixel 85: 9.411621e-01
0F1F1      //Pixel 86: 9.450836e-01
0F1F1      //Pixel 87: 9.450836e-01
0F2F2      //Pixel 88: 9.490051e-01
0F3F3      //Pixel 89: 9.529266e-01
0F4F4      //Pixel 90: 9.568481e-01
0F4F4      //Pixel 91: 9.568481e-01
