object 1 1
103 340 118 
755 510 567 
103 50 294 
982 280 763 
298 560 252 
710 50 559 
object 2 0
298 560 178 
103 50 680 
103 340 397 
710 50 830 
755 510 574 
982 280 879 
object 3 0
400 80 272 
300 800 659 
980 120 840 
710 620 732 
103 500 342 
130 210 50 
object 4 1
298 560 430 
755 510 707 
103 50 116 
710 50 580 
982 280 850 
103 340 183 
object 5 1
755 510 345 
982 280 616 
298 560 122 
710 50 549 
103 50 553 
103 340 350 
object 6 0
755 510 743 
103 340 296 
710 50 898 
982 280 1021 
298 560 285 
103 50 580 
object 7 0
103 50 748 
710 50 148 
298 560 718 
755 510 420 
982 280 223 
103 340 784 
object 8 0
300 800 330 
710 620 690 
400 80 664 
103 500 150 
130 210 429 
980 120 1084 
object 9 1
302 423 574 
503 521 501 
694 768 420 
10 664 468 
43 1003 298 
694 1023 354 
object 10 0
710 620 316 
980 120 561 
130 210 1007 
400 80 863 
103 500 935 
300 800 730 
object 11 1
302 423 315 
694 768 546 
694 1023 630 
503 521 394 
43 1003 322 
10 664 146 
object 12 1
980 120 733 
710 620 217 
103 500 433 
130 210 594 
300 800 235 
400 80 603 
object 13 0
694 1023 392 
10 664 622 
503 521 172 
694 768 146 
302 423 392 
43 1003 694 
object 14 1
321 870 378 
1010 643 690 
321 127 365 
432 123 381 
567 1003 560 
970 280 668 
object 15 0
755 510 390 
103 50 732 
103 340 487 
298 560 193 
982 280 707 
710 50 720 
object 16 0
300 800 628 
980 120 875 
130 210 1096 
400 80 1039 
103 500 934 
710 620 416 
object 17 0
103 500 784 
130 210 753 
400 80 540 
710 620 320 
980 120 247 
300 800 732 
object 18 1
503 521 154 
694 768 215 
694 1023 398 
43 1003 562 
10 664 490 
302 423 320 
object 19 1
43 1003 595 
302 423 550 
10 664 646 
694 1023 168 
694 768 124 
503 521 369 
object 20 1
980 120 785 
103 500 214 
710 620 574 
130 210 142 
300 800 486 
400 80 300 
object 21 0
432 123 834 
321 127 833 
567 1003 173 
321 870 117 
970 280 885 
1010 643 686 
object 22 1
710 50 238 
103 340 777 
982 280 122 
755 510 308 
298 560 664 
103 50 788 
object 23 1
982 280 586 
103 50 337 
755 510 464 
710 50 348 
103 340 324 
298 560 364 
object 24 1
503 521 205 
43 1003 571 
302 423 69 
10 664 337 
694 1023 661 
694 768 481 
object 25 0
321 127 922 
567 1003 228 
970 280 672 
1010 643 363 
432 123 875 
321 870 464 
object 26 1
970 280 684 
432 123 771 
1010 643 448 
321 127 802 
321 870 302 
567 1003 144 
object 27 0
755 510 386 
103 50 848 
982 280 709 
710 50 778 
103 340 607 
298 560 313 
object 28 0
503 521 494 
302 423 346 
694 1023 782 
10 664 40 
43 1003 378 
694 768 689 
object 29 0
567 1003 516 
970 280 823 
321 870 269 
432 123 540 
1010 643 790 
321 127 503 
object 30 1
103 340 769 
710 50 334 
103 50 822 
298 560 613 
755 510 203 
982 280 126 
object 31 0
503 521 582 
694 1023 1097 
10 664 571 
43 1003 904 
694 768 893 
302 423 380 
object 32 0
694 1023 377 
10 664 968 
503 521 530 
43 1003 959 
302 423 754 
694 768 279 
object 33 1
321 870 389 
1010 643 378 
567 1003 373 
970 280 490 
321 127 595 
432 123 549 
object 34 1
103 500 307 
400 80 430 
130 210 410 
710 620 319 
980 120 690 
300 800 310 
object 35 1
503 521 299 
43 1003 421 
694 1023 622 
10 664 214 
694 768 496 
302 423 213 
object 36 0
103 50 918 
298 560 884 
710 50 311 
103 340 962 
982 280 233 
755 510 531 
object 37 0
10 664 815 
694 768 180 
43 1003 743 
694 1023 130 
302 423 695 
503 521 491 
object 38 0
400 80 836 
300 800 110 
103 500 454 
980 120 1042 
130 210 720 
710 620 502 
object 39 1
321 870 724 
567 1003 786 
321 127 333 
432 123 230 
970 280 334 
1010 643 561 
object 40 1
400 80 493 
103 500 816 
710 620 426 
130 210 742 
300 800 811 
980 120 150 
object 41 0
970 280 344 
321 870 774 
432 123 217 
321 127 326 
1010 643 600 
567 1003 840 
object 42 0
321 127 936 
321 870 655 
970 280 519 
567 1003 454 
432 123 865 
1010 643 160 
object 43 1
567 1003 551 
321 127 600 
1010 643 261 
321 870 599 
432 123 520 
970 280 282 
object 44 1
710 620 514 
130 210 270 
300 800 598 
103 500 415 
400 80 130 
980 120 586 
object 45 0
10 664 849 
694 1023 924 
503 521 444 
694 768 669 
302 423 471 
43 1003 1085 
object 46 0
980 120 968 
710 620 500 
300 800 113 
103 500 249 
130 210 517 
400 80 664 
object 47 0
103 500 420 
300 800 739 
400 80 270 
130 210 130 
710 620 792 
980 120 850 
object 48 1
321 870 264 
1010 643 511 
321 127 576 
567 1003 334 
432 123 556 
970 280 613 
object 49 0
567 1003 1016 
1010 643 1059 
321 127 222 
432 123 332 
321 870 801 
970 280 888 
object 50 0
321 870 130 
432 123 883 
970 280 969 
567 1003 246 
321 127 873 
1010 643 775 
