00000000      //X=00  Y=00,01,02,03,04,05,06,07 stored @ ROM[000] 
00000000      //X=00  Y=08,09,10,11,12,13,14,15 stored @ ROM[001] 
00000000      //X=00  Y=16,17,18,19,20,21,22,23 stored @ ROM[002] 
00000000      //X=00  Y=24,25,26,27,28,29,30,31 stored @ ROM[003] 
00000000      //X=01  Y=00,01,02,03,04,05,06,07 stored @ ROM[004] 
00000000      //X=01  Y=08,09,10,11,12,13,14,15 stored @ ROM[005] 
00000000      //X=01  Y=16,17,18,19,20,21,22,23 stored @ ROM[006] 
00000000      //X=01  Y=24,25,26,27,28,29,30,31 stored @ ROM[007] 
00011000      //X=02  Y=00,01,02,03,04,05,06,07 stored @ ROM[008] 
00000000      //X=02  Y=08,09,10,11,12,13,14,15 stored @ ROM[009] 
00000000      //X=02  Y=16,17,18,19,20,21,22,23 stored @ ROM[010] 
00000000      //X=02  Y=24,25,26,27,28,29,30,31 stored @ ROM[011] 
00011100      //X=03  Y=00,01,02,03,04,05,06,07 stored @ ROM[012] 
00011000      //X=03  Y=08,09,10,11,12,13,14,15 stored @ ROM[013] 
00000000      //X=03  Y=16,17,18,19,20,21,22,23 stored @ ROM[014] 
00000000      //X=03  Y=24,25,26,27,28,29,30,31 stored @ ROM[015] 
00111110      //X=04  Y=00,01,02,03,04,05,06,07 stored @ ROM[016] 
00011000      //X=04  Y=08,09,10,11,12,13,14,15 stored @ ROM[017] 
00000000      //X=04  Y=16,17,18,19,20,21,22,23 stored @ ROM[018] 
00000000      //X=04  Y=24,25,26,27,28,29,30,31 stored @ ROM[019] 
00111110      //X=05  Y=00,01,02,03,04,05,06,07 stored @ ROM[020] 
00111100      //X=05  Y=08,09,10,11,12,13,14,15 stored @ ROM[021] 
00000000      //X=05  Y=16,17,18,19,20,21,22,23 stored @ ROM[022] 
00000000      //X=05  Y=24,25,26,27,28,29,30,31 stored @ ROM[023] 
00001100      //X=06  Y=00,01,02,03,04,05,06,07 stored @ ROM[024] 
00101110      //X=06  Y=08,09,10,11,12,13,14,15 stored @ ROM[025] 
00000000      //X=06  Y=16,17,18,19,20,21,22,23 stored @ ROM[026] 
00000000      //X=06  Y=24,25,26,27,28,29,30,31 stored @ ROM[027] 
00000000      //X=07  Y=00,01,02,03,04,05,06,07 stored @ ROM[028] 
00000111      //X=07  Y=08,09,10,11,12,13,14,15 stored @ ROM[029] 
10000000      //X=07  Y=16,17,18,19,20,21,22,23 stored @ ROM[030] 
00000000      //X=07  Y=24,25,26,27,28,29,30,31 stored @ ROM[031] 
00000000      //X=08  Y=00,01,02,03,04,05,06,07 stored @ ROM[032] 
00001101      //X=08  Y=08,09,10,11,12,13,14,15 stored @ ROM[033] 
11000000      //X=08  Y=16,17,18,19,20,21,22,23 stored @ ROM[034] 
00000000      //X=08  Y=24,25,26,27,28,29,30,31 stored @ ROM[035] 
00000000      //X=09  Y=00,01,02,03,04,05,06,07 stored @ ROM[036] 
00000001      //X=09  Y=08,09,10,11,12,13,14,15 stored @ ROM[037] 
10000000      //X=09  Y=16,17,18,19,20,21,22,23 stored @ ROM[038] 
00000000      //X=09  Y=24,25,26,27,28,29,30,31 stored @ ROM[039] 
00000000      //X=10  Y=00,01,02,03,04,05,06,07 stored @ ROM[040] 
00000000      //X=10  Y=08,09,10,11,12,13,14,15 stored @ ROM[041] 
00000001      //X=10  Y=16,17,18,19,20,21,22,23 stored @ ROM[042] 
11100000      //X=10  Y=24,25,26,27,28,29,30,31 stored @ ROM[043] 
00000100      //X=11  Y=00,01,02,03,04,05,06,07 stored @ ROM[044] 
00000000      //X=11  Y=08,09,10,11,12,13,14,15 stored @ ROM[045] 
00000111      //X=11  Y=16,17,18,19,20,21,22,23 stored @ ROM[046] 
00111000      //X=11  Y=24,25,26,27,28,29,30,31 stored @ ROM[047] 
00001110      //X=12  Y=00,01,02,03,04,05,06,07 stored @ ROM[048] 
00000000      //X=12  Y=08,09,10,11,12,13,14,15 stored @ ROM[049] 
00000100      //X=12  Y=16,17,18,19,20,21,22,23 stored @ ROM[050] 
00001000      //X=12  Y=24,25,26,27,28,29,30,31 stored @ ROM[051] 
00000111      //X=13  Y=00,01,02,03,04,05,06,07 stored @ ROM[052] 
00000000      //X=13  Y=08,09,10,11,12,13,14,15 stored @ ROM[053] 
00001100      //X=13  Y=16,17,18,19,20,21,22,23 stored @ ROM[054] 
00001100      //X=13  Y=24,25,26,27,28,29,30,31 stored @ ROM[055] 
