A6B1B      //Pattern000: RSSIA=-89.3059
A0F1A      //Pattern000: RSSIB=-95.0562
9E044      //Pattern000: RSSIC=-97.9834
A394F      //Pattern001: RSSIA=-92.4182
9FBA2      //Pattern001: RSSIB=-96.2729
A1903      //Pattern001: RSSIC=-94.4368
9EA19      //Pattern002: RSSIA=-97.3689
A2B44      //Pattern002: RSSIB=-93.2959
A43CE      //Pattern002: RSSIC=-91.7622
9F93B      //Pattern003: RSSIA=-96.4231
A4886      //Pattern003: RSSIB=-91.4673
A1F12      //Pattern003: RSSIC=-94.0581
9E7DF      //Pattern004: RSSIA=-97.5081
A2727      //Pattern004: RSSIB=-93.553
A49CB      //Pattern004: RSSIC=-91.3879
A018E      //Pattern005: RSSIA=-95.9028
A1F97      //Pattern005: RSSIB=-94.0256
A3B1A      //Pattern005: RSSIC=-92.3062
9E8D1      //Pattern006: RSSIA=-97.449
A6ED5      //Pattern006: RSSIB=-89.073
A1013      //Pattern006: RSSIC=-94.9954
9EC5C      //Pattern007: RSSIA=-97.2275
A4E18      //Pattern007: RSSIB=-91.1191
A22FE      //Pattern007: RSSIC=-93.813
A0689      //Pattern008: RSSIA=-95.5916
9EE3C      //Pattern008: RSSIB=-97.1104
A5807      //Pattern008: RSSIC=-90.4983
AD8E6      //Pattern009: RSSIA=-82.4438
9EC3C      //Pattern009: RSSIB=-97.2354
9D6DB      //Pattern009: RSSIC=-98.5715
A1770      //Pattern010: RSSIA=-94.5352
A513C      //Pattern010: RSSIB=-90.9229
9F854      //Pattern010: RSSIC=-96.4795
A1683      //Pattern011: RSSIA=-94.593
9FC94      //Pattern011: RSSIB=-96.2139
A3C48      //Pattern011: RSSIC=-92.2324
A247A      //Pattern012: RSSIA=-93.7202
A12C8      //Pattern012: RSSIB=-94.8262
A1F81      //Pattern012: RSSIC=-94.031
9EF57      //Pattern013: RSSIA=-97.0413
AB6FE      //Pattern013: RSSIB=-84.563
9EDF0      //Pattern013: RSSIC=-97.1289
A32E1      //Pattern014: RSSIA=-92.8201
A2249      //Pattern014: RSSIB=-93.8572
A055C      //Pattern014: RSSIC=-95.665
A0D33      //Pattern015: RSSIA=-95.175
A1683      //Pattern015: RSSIB=-94.593
A35F9      //Pattern015: RSSIC=-92.6267
A2F6C      //Pattern016: RSSIA=-93.0361
A1784      //Pattern016: RSSIB=-94.5303
A118E      //Pattern016: RSSIC=-94.9028
9E659      //Pattern017: RSSIA=-97.6033
A4F58      //Pattern017: RSSIB=-91.041
A2421      //Pattern017: RSSIC=-93.7419
9F49B      //Pattern018: RSSIA=-96.7122
A0180      //Pattern018: RSSIB=-95.9063
A6E49      //Pattern018: RSSIC=-89.1072
9E4C2      //Pattern019: RSSIA=-97.7026
ADD1D      //Pattern019: RSSIB=-82.1804
9EC95      //Pattern019: RSSIC=-97.2136
A4174      //Pattern020: RSSIA=-91.9092
A1445      //Pattern020: RSSIB=-94.7332
A041D      //Pattern020: RSSIC=-95.7429
A3637      //Pattern021: RSSIA=-92.6116
A2D27      //Pattern021: RSSIB=-93.178
9F621      //Pattern021: RSSIC=-96.6169
A42A3      //Pattern022: RSSIA=-91.8352
9F135      //Pattern022: RSSIB=-96.9246
A13F4      //Pattern022: RSSIC=-94.7529
9F4E1      //Pattern023: RSSIA=-96.6951
A81FC      //Pattern023: RSSIB=-87.876
9FFB9      //Pattern023: RSSIC=-96.0173
9EEE8      //Pattern024: RSSIA=-97.0684
A6BF4      //Pattern024: RSSIB=-89.2529
