A0925      //Pattern000: RSSIA=-95.4285
9E8E5      //Pattern000: RSSIB=-97.4441
A8B6B      //Pattern000: RSSIC=-87.2864
A8A4B      //Pattern001: RSSIA=-87.3567
9E1E5      //Pattern001: RSSIB=-97.8816
A0949      //Pattern001: RSSIC=-95.4197
9FC91      //Pattern002: RSSIA=-96.2146
9E66F      //Pattern002: RSSIB=-97.5979
AB226      //Pattern002: RSSIC=-84.8657
A607F      //Pattern003: RSSIA=-89.969
9E697      //Pattern003: RSSIB=-97.5881
A1E1A      //Pattern003: RSSIC=-94.1187
9D5D2      //Pattern004: RSSIA=-98.6362
B1DCB      //Pattern004: RSSIB=-78.1379
9EAA1      //Pattern004: RSSIC=-97.3357
A0A8D      //Pattern005: RSSIA=-95.3406
A12DB      //Pattern005: RSSIB=-94.8215
A556C      //Pattern005: RSSIC=-90.6611
9EE63      //Pattern006: RSSIA=-97.1008
A38CE      //Pattern006: RSSIB=-92.4497
A3F37      //Pattern006: RSSIC=-92.0491
A2FA4      //Pattern007: RSSIA=-93.0225
9F0A9      //Pattern007: RSSIB=-96.9587
A4633      //Pattern007: RSSIC=-91.6125
A279E      //Pattern008: RSSIA=-93.5239
9F23F      //Pattern008: RSSIB=-96.8596
A4F9B      //Pattern008: RSSIC=-91.0247
A2BE4      //Pattern009: RSSIA=-93.2568
A2835      //Pattern009: RSSIB=-93.4871
A0A3F      //Pattern009: RSSIC=-95.3596
9DED8      //Pattern010: RSSIA=-98.0723
AB69C      //Pattern010: RSSIB=-84.5869
9FC28      //Pattern010: RSSIC=-96.2402
9F9BC      //Pattern011: RSSIA=-96.3916
A07A4      //Pattern011: RSSIB=-95.5225
A80D3      //Pattern011: RSSIC=-87.9485
A04DE      //Pattern012: RSSIA=-95.6958
9F3C1      //Pattern012: RSSIB=-96.7654
A8D9E      //Pattern012: RSSIC=-87.1489
A5EBD      //Pattern013: RSSIA=-90.0789
A073A      //Pattern013: RSSIB=-95.5483
9FACB      //Pattern013: RSSIC=-96.3254
ABFD5      //Pattern014: RSSIA=-84.0105
9E6CF      //Pattern014: RSSIB=-97.5745
9EB73      //Pattern014: RSSIC=-97.2844
AC421      //Pattern015: RSSIA=-83.7419
9D9BC      //Pattern015: RSSIB=-98.3916
9F812      //Pattern015: RSSIC=-96.4956
9F93B      //Pattern016: RSSIA=-96.4231
9F450      //Pattern016: RSSIB=-96.7305
AAB76      //Pattern016: RSSIC=-85.2837
9FACB      //Pattern017: RSSIA=-96.3254
A2D27      //Pattern017: RSSIB=-93.178
A4410      //Pattern017: RSSIC=-91.7461
9FF41      //Pattern018: RSSIA=-96.0466
9F7C9      //Pattern018: RSSIB=-96.5134
A9523      //Pattern018: RSSIC=-86.679
A33D6      //Pattern019: RSSIA=-92.7603
A1BBF      //Pattern019: RSSIB=-94.2659
A134B      //Pattern019: RSSIC=-94.7942
A8B1C      //Pattern020: RSSIA=-87.3057
9E732      //Pattern020: RSSIB=-97.5503
A06EB      //Pattern020: RSSIC=-95.5676
9EEBE      //Pattern021: RSSIA=-97.0786
9F7AD      //Pattern021: RSSIB=-96.5203
ABE1A      //Pattern021: RSSIC=-84.1187
9F038      //Pattern022: RSSIA=-96.9863
A2D79      //Pattern022: RSSIB=-93.158
A4B8A      //Pattern022: RSSIC=-91.2788
A386E      //Pattern023: RSSIA=-92.4731
A13CA      //Pattern023: RSSIB=-94.7632
A1940      //Pattern023: RSSIC=-94.4219
A09E8      //Pattern024: RSSIA=-95.3809
A175C      //Pattern024: RSSIB=-94.54
A4FF4      //Pattern024: RSSIC=-91.0029
9FDF3      //Pattern025: RSSIA=-96.1282
A1903      //Pattern025: RSSIB=-94.4368
A5C9B      //Pattern025: RSSIC=-90.2122
A0464      //Pattern026: RSSIA=-95.7256
9F038      //Pattern026: RSSIB=-96.9863
A92EC      //Pattern026: RSSIC=-86.8174
9FDF3      //Pattern027: RSSIA=-96.1282
9ED1E      //Pattern027: RSSIB=-97.1802
AA8BC      //Pattern027: RSSIC=-85.4541
A17BB      //Pattern028: RSSIA=-94.5168
9EDF8      //Pattern028: RSSIB=-97.127
A6A87      //Pattern028: RSSIC=-89.342
A2008      //Pattern029: RSSIA=-93.998
A39A8      //Pattern029: RSSIB=-92.3965
9FE3C      //Pattern029: RSSIC=-96.1104
9EE24      //Pattern030: RSSIA=-97.1162
9F07C      //Pattern030: RSSIB=-96.9697
AD8E6      //Pattern030: RSSIC=-82.4438
A2062      //Pattern031: RSSIA=-93.9761
9F72F      //Pattern031: RSSIB=-96.551
A566C      //Pattern031: RSSIC=-90.5986
A0BB9      //Pattern032: RSSIA=-95.2673
A0621      //Pattern032: RSSIB=-95.6169
A660D      //Pattern032: RSSIC=-89.6218
A7BF4      //Pattern033: RSSIA=-88.2529
9EA05      //Pattern033: RSSIB=-97.3738
A0CEA      //Pattern033: RSSIC=-95.1929
9D7A8      //Pattern034: RSSIA=-98.5215
B022F      //Pattern034: RSSIB=-79.8635
9EDF8      //Pattern034: RSSIC=-97.127
9F1D7      //Pattern035: RSSIA=-96.885
A6F4F      //Pattern035: RSSIB=-89.0432
A1048      //Pattern035: RSSIC=-94.9824
9E43C      //Pattern036: RSSIA=-97.7354
ACB3E      //Pattern036: RSSIB=-83.2974
9ED5C      //Pattern036: RSSIC=-97.165
A18D5      //Pattern037: RSSIA=-94.448
